Quarter,Time,Tm,Detail,SDG,BAL
1.0,10:21,Chargers,Malcom Floyd 31 yard pass from Philip Rivers (Nate Kaeding kick),7,0
,5:28,Ravens,Daniel Wilcox 5 yard pass from Steve McNair (Matt Stover kick),7,7
2.0,14:51,Chargers,Nate Kaeding 34 yard field goal,10,7
,1:51,Chargers,Nate Kaeding 54 yard field goal,13,7
4.0,3:12,Ravens,"Safety,",13,9
,0:34,Ravens,Todd Heap 10 yard pass from Steve McNair (Matt Stover kick),13,16
