Unnamed: 0,SDG,BAL
First Downs,13,14
Rush-Yds-TDs,40-150-0,21-56-0
Cmp-Att-Yd-TD-INT,13-23-145-1-1,17-30-158-2-2
Sacked-Yards,1-11,2-8
Net Pass Yards,134,150
Total Yards,284,206
Fumbles-Lost,4-0,2-1
Turnovers,1,3
Penalties-Yards,10-78,4-30
Third Down Conv.,2-13,4-11
Fourth Down Conv.,1-3,0-0
Time of Possession,33:42,26:18
