Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 70 yards, returned by Michael Turner for 31 yards (tackle by Gary Stills)",0.000,1.000
1,14:55,1,10,SDG 31,0,0,LaDainian Tomlinson left tackle for 5 yards (tackle by Kelly Gregg),1.000,1.140
1,14:20,2,5,SDG 36,0,0,Philip Rivers pass complete short right to LaDainian Tomlinson for 7 yards (tackle by Ray Lewis),1.140,1.800
1,13:53,1,10,SDG 43,0,0,Philip Rivers pass complete short left to Eric Parker for 9 yards (tackle by Ray Lewis),1.800,2.470
1,13:16,2,1,BAL 48,0,0,Lorenzo Neal left guard for 3 yards (tackle by Bart Scott and Justin Bannan),2.470,2.590
1,12:40,1,10,BAL 45,0,0,Philip Rivers pass incomplete short left intended for Eric Parker,2.590,2.040
1,12:36,2,10,BAL 45,0,0,LaDainian Tomlinson right tackle for -3 yards (tackle by Ed Reed),2.040,0.960
1,11:51,3,13,BAL 48,0,0,Philip Rivers pass complete short right to Antonio Gates for 13 yards (tackle by Ray Lewis and Ed Reed),0.960,3.250
1,11:09,1,10,BAL 35,0,0,LaDainian Tomlinson middle for 4 yards (tackle by Kelly Gregg),3.250,3.240
1,10:21,2,6,BAL 31,6,0,"Philip Rivers pass complete deep right to Malcom Floyd for 31 yards, touchdown",3.240,7.000
1,,,,BAL 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 65 yards, returned by B.J. Sams for 29 yards (tackle by Antonio Cromartie)",0.000,1.200
1,10:11,1,10,BAL 34,7,0,Steve McNair pass incomplete short left intended for Mark Clayton (defended by Drayton Florence),1.200,0.660
1,10:07,2,10,BAL 34,7,0,Jamal Lewis middle for 1 yard (tackle by Luis Castillo and Jamal Williams),0.660,0.100
1,9:32,3,9,BAL 35,7,0,Steve McNair pass incomplete short left intended for Demetrius Williams. Penalty on Keydrick Vincent: Offensive Holding (Declined),0.100,-1.040
1,9:28,4,9,BAL 35,7,0,"Sam Koch punts 56 yards, returned by Eric Parker for 25 yards (tackle by Musa Smith)",-1.040,-1.200
1,9:13,1,10,SDG 34,7,0,LaDainian Tomlinson left tackle for -1 yards (tackle by Bart Scott and Kelly Gregg),1.200,0.520
1,8:34,2,11,SDG 33,7,0,Philip Rivers pass incomplete short middle intended for Antonio Gates is intercepted by Bart Scott at SDG-46 and returned for 24 yards,0.520,-4.110
1,8:20,1,10,SDG 22,7,0,Jamal Lewis left guard for 2 yards (tackle by Shaun Phillips),4.110,3.830
1,7:44,2,8,SDG 20,7,0,Steve McNair pass complete short left to Mark Clayton for 4 yards (tackle by Drayton Florence),3.830,3.740
1,7:03,3,4,SDG 16,7,0,Steve McNair pass complete short right to Derrick Mason for 9 yards (tackle by Quentin Jammer and Randall Godfrey),3.740,5.600
1,6:20,1,7,SDG 7,7,0,Jamal Lewis middle for 2 yards (tackle by Donnie Edwards and Clinton Hart),5.600,5.150
1,5:33,2,5,SDG 5,7,6,"Steve McNair pass complete short right to Daniel Wilcox for 5 yards, touchdown",5.150,7.000
1,,,,SDG 2,7,7,Matt Stover kicks extra point good,0.000,0.000
1,,,,BAL 30,7,7,"Matt Stover kicks off 64 yards, returned by Michael Turner for 32 yards (tackle by Evan Oglesby)",0.000,1.470
1,5:18,1,10,SDG 38,7,7,LaDainian Tomlinson middle for 5 yards (tackle by Bart Scott),1.470,1.600
1,4:26,2,5,SDG 43,7,7,Philip Rivers pass complete short middle to Eric Parker for 11 yards (tackle by Ed Reed),1.600,2.520
1,4:01,1,10,BAL 46,7,7,Philip Rivers pass complete short right to Antonio Gates for 5 yards (tackle by Ray Lewis),2.520,2.650
1,3:21,2,5,BAL 41,7,7,Philip Rivers pass complete short left to Vincent Jackson for 6 yards (tackle by Terrell Suggs),2.650,3.250
1,2:29,1,10,BAL 35,7,7,LaDainian Tomlinson right tackle for 8 yards (tackle by Bart Scott and Ed Reed),3.250,3.780
1,1:59,2,2,BAL 27,7,7,Lorenzo Neal left guard for 3 yards (tackle by Justin Bannan),3.780,3.970
1,1:20,1,10,BAL 24,7,7,Philip Rivers pass complete short right to Brandon Manumaleuna for 5 yards (tackle by Adalius Thomas and Ed Reed),3.970,4.120
1,0:39,2,5,BAL 19,7,7,LaDainian Tomlinson right guard for 3 yards (tackle by Haloti Ngata and Ray Lewis),4.120,3.950
Quarter,Time,Down,ToGo,Location,SDG,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,BAL 16,7,7,Philip Rivers pass incomplete deep right intended for Antonio Gates,3.950,2.500
2,14:56,4,2,BAL 16,10,7,Nate Kaeding 34 yard field goal good,2.500,3.000
2,,,,SDG 30,10,7,"Nate Kaeding kicks off 65 yards, returned by B.J. Sams for 14 yards (tackle by Steve Gregory). Penalty on Steve Gregory: Offside on Free Kick, 5 yards (no play)",0.000,0.000
2,,,,SDG 25,10,7,"Nate Kaeding kicks off 72 yards, returned by B.J. Sams for 28 yards (tackle by Kassim Osgood). Penalty on Stephen Cooper: Face Mask (15 Yards), 15 yards",0.000,1.990
2,14:39,1,10,BAL 46,10,7,Jamal Lewis left end for 5 yards (tackle by Randall Godfrey),1.990,2.130
2,14:13,2,5,SDG 49,10,7,Jamal Lewis middle for no gain (tackle by Jamal Williams),2.130,1.420
2,13:30,3,5,SDG 49,10,7,Steve McNair pass complete short right to Demetrius Williams for 6 yards (tackle by Quentin Jammer),1.420,2.720
2,12:48,1,10,SDG 43,10,7,Mark Clayton left end for -3 yards (tackle by Drayton Florence),2.720,1.770
2,11:17,2,13,SDG 46,10,7,"Steve McNair sacked by Shaun Phillips for -5 yards. Steve McNair fumbles (forced by Shaun Phillips), recovered by Jonathan Ogden at SDG-49",1.770,0.700
2,11:17,3,16,SDG 49,10,7,Steve McNair pass incomplete short right intended for Mike Anderson,0.700,0.000
2,11:11,4,16,SDG 49,10,7,Sam Koch punts 44 yards,0.000,0.380
2,11:02,1,10,SDG 5,10,7,LaDainian Tomlinson middle for 3 yards (tackle by Aubrayo Franklin and Ray Lewis),-0.380,-0.560
2,10:19,2,7,SDG 8,10,7,Philip Rivers pass complete short right to Eric Parker for 8 yards (tackle by Dawan Landry),-0.560,-0.140
2,9:39,1,10,SDG 16,10,7,LaDainian Tomlinson right tackle for 2 yards (tackle by Dawan Landry),-0.140,-0.350
2,8:55,2,8,SDG 18,10,7,LaDainian Tomlinson middle for 4 yards (tackle by Aubrayo Franklin and Ray Lewis),-0.350,-0.570
2,8:11,3,4,SDG 22,10,7,LaDainian Tomlinson right tackle for 2 yards (tackle by Ray Lewis and Trevor Pryce),-0.570,-1.770
2,7:21,4,2,SDG 24,10,7,Mike Scifres punts 47 yards,-1.770,-0.870
2,7:21,1,10,BAL 29,10,7,Steve McNair pass incomplete deep right intended for Derrick Mason is intercepted by Quentin Jammer at SDG-29 and returned for 11 yards,0.870,-1.600
2,7:10,1,10,SDG 40,10,7,LaDainian Tomlinson right guard for 5 yards (tackle by Bart Scott),1.600,1.730
2,6:32,2,5,SDG 45,10,7,LaDainian Tomlinson right guard for 4 yards (tackle by Bart Scott and Kelly Gregg),1.730,1.550
2,5:59,3,1,SDG 49,10,7,LaDainian Tomlinson right end for -3 yards (tackle by Adalius Thomas),1.550,-0.320
2,5:17,4,4,SDG 46,10,7,"Mike Scifres punts 54 yards, touchback. Penalty on Gerome Sapp: Illegal Block Above the , 10 yards",-0.320,0.380
2,5:06,1,10,BAL 10,10,7,Jamal Lewis right guard for 4 yards (tackle by Shawne Merriman),-0.380,-0.460
2,4:26,2,6,BAL 14,10,7,Steve McNair pass incomplete short right intended for Daniel Wilcox,-0.460,-0.950
2,4:22,3,6,BAL 14,10,7,"Steve McNair pass complete short middle to Derrick Mason for 13 yards (tackle by Clinton Hart). Penalty on Jonathan Ogden: Illegal Formation, 5 yards (no play)",-0.950,-1.540
2,3:51,3,11,BAL 9,10,7,Steve McNair pass complete short left to Musa Smith for 1 yard (tackle by Drayton Florence),-1.540,-2.490
