#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:24,KAN 38,5,3:33,42,Missed FG
2,1,3:35,KAN 31,4,2:05,69,Touchdown
3,2,15:00,KAN 27,3,2:04,-1,Punt
4,2,7:09,KAN 25,1,0:12,0,Interception
5,2,4:47,KAN 25,11,4:12,75,Touchdown
6,3,15:00,KAN 25,11,4:31,64,Field Goal
7,3,10:11,NWE 7,2,0:49,7,Touchdown
8,3,6:33,KAN 26,6,2:53,39,Field Goal
9,3,1:34,KAN 26,3,0:58,1,Punt
10,4,14:43,KAN 15,5,3:21,10,Punt
11,4,9:20,KAN 24,1,0:12,0,Interception
12,4,8:24,KAN 25,8,4:24,18,Punt
13,4,2:35,NWE 6,4,2:00,-3,Downs
