Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 62 yards, returned by Jalen Reagor for 20 yards (tackle by Justin Watson). Penalty on Brenden Schooler: Offensive Holding, 10 yards (accepted)",0.000,-0.320
1,14:52,1,10,NWE 13,0,0,Ezekiel Elliott left tackle for -1 yards (tackle by Justin Reid and Nick Bolton),-0.320,-0.930
1,14:22,2,12,NWE 12,0,0,Bailey Zappe pass complete short right to DeVante Parker for 3 yards (tackle by Nick Bolton and Chamarri Conner),-0.930,-1.180
1,13:38,3,8,NWE 15,0,0,Bailey Zappe pass incomplete short middle intended for Demario Douglas,-1.180,-2.440
1,13:33,4,8,NWE 15,0,0,"Bryce Baringer punts 47 yards, fair catch by Richie James at KC-38",-2.440,-1.470
1,13:24,1,10,KAN 38,0,0,Patrick Mahomes pass complete deep right to Noah Gray for 32 yards (tackle by Jonathan Jones and Jabrill Peppers),1.470,3.580
1,12:40,1,10,NWE 30,0,0,"Patrick Mahomes pass complete short left to Rashee Rice for -14 yards (tackle by Myles Bryant). Penalty on Alex Austin: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.580,3.910
1,12:37,1,10,NWE 25,0,0,Clyde Edwards-Helaire left guard for 5 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),3.910,4.040
1,11:52,2,5,NWE 20,0,0,"Patrick Mahomes pass complete short right to Kadarius Toney for no gain (tackle by Alex Austin). Penalty on Rashee Rice: Offensive Pass Interference, 10 yards (accepted) (no play)",4.040,2.690
1,11:24,2,15,NWE 30,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Myles Bryant and Christian Barmore),2.690,2.610
1,10:39,3,10,NWE 26,0,0,Patrick Mahomes pass complete short right to Jerick McKinnon for 6 yards (tackle by Jabrill Peppers),2.610,2.170
1,9:56,4,5,NWE 20,0,0,Harrison Butker 39 yard field goal no good,2.170,-0.870
1,9:51,1,10,NWE 29,0,0,Bailey Zappe pass complete short left to Hunter Henry for 2 yards (tackle by Justin Reid),0.870,0.600
1,9:21,2,8,NWE 31,0,0,Bailey Zappe pass complete short middle to Hunter Henry for 9 yards (tackle by Mike Edwards and Leo Chenal),0.600,1.600
1,8:41,1,10,NWE 40,0,0,Bailey Zappe pass complete short middle to DeVante Parker for 20 yards (tackle by Trent McDuffie),1.600,2.920
1,7:57,1,10,KAN 40,0,0,Bailey Zappe pass complete short right to DeVante Parker for 3 yards (tackle by L'Jarius Sneed),2.920,2.780
1,7:17,2,7,KAN 37,0,0,Bailey Zappe pass complete short middle to Hunter Henry for 9 yards (tackle by Justin Reid),2.780,3.710
1,6:44,1,10,KAN 28,0,0,Bailey Zappe pass complete short left to Demario Douglas for 16 yards (tackle by L'Jarius Sneed),3.710,4.780
1,6:01,1,10,KAN 12,0,0,"Bailey Zappe pass complete short middle to Demario Douglas for no gain (tackle by Trent McDuffie). Penalty on Demario Douglas: Offensive Facemask, 15 yards (accepted) (no play)",4.780,3.780
1,5:39,1,25,KAN 27,0,0,Bailey Zappe sacked by Derrick Nnadi for -2 yards,3.780,1.930
1,5:01,2,27,KAN 29,0,0,Bailey Zappe pass complete short left to Ezekiel Elliott for 3 yards (tackle by Willie Gay),1.930,1.690
1,4:18,3,24,KAN 26,0,0,Ezekiel Elliott up the middle for 3 yards (tackle by Nick Bolton),1.690,1.930
1,3:40,4,21,KAN 23,0,0,Chad Ryland 41 yard field goal no good,1.930,-1.000
1,3:35,1,10,KAN 31,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 6 yards (tackle by Jahlani Tavai),1.000,1.270
1,2:58,2,4,KAN 37,0,0,"Patrick Mahomes pass incomplete short middle Penalty on KAN: Intentional Grounding, 10 yards (offset) Penalty on NWE: Illegal Contact, 5 yards (offset) (no play)",1.270,1.270
1,2:52,2,4,KAN 37,0,0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 48 yards (tackle by Alex Austin),1.270,4.580
1,2:08,1,10,NWE 15,0,0,Patrick Mahomes pass complete short left to Rashee Rice for 11 yards (tackle by Jabrill Peppers),4.580,6.280
1,1:34,1,4,NWE 4,6,0,"Jerick McKinnon pass complete short middle to Rashee Rice for 4 yards, touchdown",6.280,7.000
1,1:30,,,NWE 15,7,0,Harrison Butker kicks extra point good,0.000,0.000
1,1:30,,,KAN 35,7,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,1:30,1,10,NWE 25,7,0,Bailey Zappe pass complete short right to Pharaoh Brown for 4 yards (tackle by Leo Chenal),0.610,0.600
1,0:57,2,6,NWE 29,7,0,Ezekiel Elliott left guard for 5 yards (tackle by Derrick Nnadi and Leo Chenal),0.600,0.560
1,0:13,3,1,NWE 34,7,0,Bailey Zappe pass incomplete short left intended for Mike Gesicki (defended by Leo Chenal),0.560,-1.110
1,0:08,4,1,NWE 34,7,0,"Bryce Baringer punts 54 yards, returned by Richie James for 15 yards (tackle by Chris Board)",-1.110,-0.740
Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 27,7,0,Clyde Edwards-Helaire left guard for 1 yard (tackle by Anfernee Jennings),0.740,0.330
2,14:33,2,9,KAN 28,7,0,Patrick Mahomes sacked by Christian Barmore for -7 yards,0.330,-1.290
2,13:43,3,16,KAN 21,7,0,Patrick Mahomes pass complete short middle to Jerick McKinnon for 5 yards (tackle by Mack Wilson),-1.290,-1.630
2,13:06,4,11,KAN 26,7,0,Tommy Townsend punts 35 yards downed by Leo Chenal,-1.630,-1.530
2,12:56,1,10,NWE 39,7,0,Bailey Zappe sacked by Drue Tranquill for -7 yards,1.530,0.040
2,12:14,2,17,NWE 32,7,0,Bailey Zappe pass complete short middle to Tyquan Thornton for 5 yards (tackle by Leo Chenal and Drue Tranquill),0.040,0.040
2,11:34,3,12,NWE 37,7,0,"Bailey Zappe pass complete short middle to Hunter Henry for 15 yards (tackle by Chamarri Conner). Penalty on Justin Reid: Defensive Holding, 5 yards (declined)",0.040,2.390
2,11:04,1,10,KAN 48,7,0,Bailey Zappe pass complete short left to Hunter Henry for 6 yards (tackle by Leo Chenal and Mike Edwards),2.390,2.660
2,10:44,2,4,KAN 42,7,0,Bailey Zappe pass complete short right to DeVante Parker for -1 yards (tackle by L'Jarius Sneed),2.660,1.820
2,10:02,3,5,KAN 43,7,0,Bailey Zappe pass complete short right to DeVante Parker for 19 yards (tackle by Mike Edwards and L'Jarius Sneed),1.820,3.970
2,9:22,1,10,KAN 24,7,0,Ezekiel Elliott right guard for 1 yard (tackle by L'Jarius Sneed),3.970,3.570
2,8:43,2,9,KAN 23,7,0,Bailey Zappe pass complete short right to Ezekiel Elliott for 6 yards (tackle by Willie Gay),3.570,3.750
2,8:03,3,3,KAN 17,7,0,Ezekiel Elliott up the middle for 1 yard (tackle by Justin Reid),3.750,2.500
2,7:14,4,2,KAN 16,7,6,"Bailey Zappe pass complete deep right to Hunter Henry for 16 yards, touchdown",2.500,7.000
2,7:09,,,KAN 15,7,7,Chad Ryland kicks extra point good,0.000,0.000
2,7:09,,,NWE 35,7,7,"Chad Ryland kicks off 65 yards, touchback.",0.000,0.610
2,7:09,1,10,KAN 25,7,7,Patrick Mahomes pass short middle intended for Blake Bell is intercepted by Marte Mapu at KC-28 and returned for 20 yards (tackle by Noah Gray),0.610,-5.370
2,6:57,1,8,KAN 8,7,7,Ezekiel Elliott left guard for 5 yards (tackle by Mike Edwards),5.370,5.530
2,6:22,2,3,KAN 3,7,7,Ezekiel Elliott left end for no gain (tackle by L'Jarius Sneed and Mike Edwards),5.530,4.720
2,5:42,3,3,KAN 3,7,7,"Bailey Zappe pass complete short left to Hunter Henry for no gain. Penalty on Conor McDermott: Offensive Holding, 10 yards (accepted) (no play)",4.720,3.060
2,5:34,3,13,KAN 13,7,7,Bailey Zappe pass complete short left to Ezekiel Elliott for 6 yards (tackle by Justin Reid and Mike Edwards),3.060,2.970
2,4:50,4,7,KAN 7,7,10,Chad Ryland 25 yard field goal good,2.970,3.000
2,4:47,,,NWE 35,7,10,"Chad Ryland kicks off 65 yards, touchback.",0.000,0.610
2,4:47,1,10,KAN 25,7,10,Jerick McKinnon up the middle for 4 yards (tackle by Christian Barmore),0.610,0.600
2,4:15,2,6,KAN 29,7,10,Patrick Mahomes pass complete short middle to Kadarius Toney for 3 yards (tackle by Anfernee Jennings),0.600,0.300
2,3:36,3,3,KAN 32,7,10,"Penalty on Jawaan Taylor: False Start, 5 yards (accepted) (no play)",0.300,-0.360
2,3:22,3,8,KAN 27,7,10,Patrick Mahomes pass complete deep left to Justin Watson for 31 yards (tackle by Jonathan Jones),-0.360,2.790
