Quarter,Time,Tm,Detail,MIN,DET
1.0,11:00,Lions,Shawn Bryson 5 yard rush (Jason Hanson kick),0,7
,0:52,Lions,Jason Hanson 27 yard field goal,0,10
2.0,12:02,Vikings,Daunte Culpepper 14 yard rush (Aaron Elling kick failed),6,10
,4:57,Vikings,Daunte Culpepper 2 yard rush (Aaron Elling kick),13,10
,0:05,Vikings,Aaron Elling 21 yard field goal,16,10
3.0,10:21,Lions,Jason Hanson 37 yard field goal,16,13
,7:52,Vikings,Kelly Campbell 72 yard pass from Gus Frerotte (Aaron Elling kick),23,13
