Unnamed: 0,MIN,DET
First Downs,14,22
Rush-Yds-TDs,22-127-2,26-77-1
Cmp-Att-Yd-TD-INT,15-32-289-1-1,24-42-235-0-3
Sacked-Yards,2-2,2-10
Net Pass Yards,287,225
Total Yards,414,302
Fumbles-Lost,1-0,2-0
Turnovers,1,3
Penalties-Yards,11-125,9-56
Third Down Conv.,5-14,6-15
Fourth Down Conv.,0-0,0-1
Time of Possession,25:25,34:35
