#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DET 41,7,4:00,59,Touchdown
2,1,8:31,DET 28,5,2:42,16,Punt
3,1,3:44,MIN 24,7,2:52,16,Field Goal
4,2,14:43,DET 20,3,1:44,-16,Punt
5,2,12:02,DET 24,8,4:14,47,Interception
6,2,4:57,DET 27,8,4:14,32,Punt
7,2,0:05,,0,0:05,0,End of Half
8,3,14:42,DET 42,8,4:21,39,Field Goal
9,3,7:52,DET 18,8,5:04,40,Punt
10,4,10:35,DET 20,3,1:48,6,Punt
11,4,6:37,DET 40,4,1:45,38,Interception
12,4,3:04,DET 43,9,1:36,55,Downs
13,4,0:22,MIN 22,2,0:10,-5,Interception
