#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,KAN 20,3,0:56,-2,Punt
2,1,12:33,KAN 20,4,1:28,9,Punt
3,1,9:50,KAN 36,3,1:32,4,Punt
4,1,5:36,DEN 18,1,0:08,2,Fumble
5,1,3:03,KAN 20,11,4:40,80,Touchdown
6,2,9:05,KAN 20,12,6:10,79,Field Goal
7,2,0:32,KAN 42,3,0:32,37,End of Half
8,3,13:58,KAN 37,3,1:07,3,Punt
9,3,11:06,KAN 35,6,3:00,10,Punt
10,3,6:31,KAN 13,3,1:07,3,Punt
11,3,2:22,KAN 8,9,5:34,51,Punt
12,4,7:06,KAN 20,9,2:10,80,Touchdown
13,4,3:38,KAN 30,5,0:48,25,Downs
14,4,0:55,KAN 20,2,0:55,-11,End of Game
