Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 58 yards, returned by Tim Dwight for 22 yards (tackle by Omar Easy)",0.000,1.200
1,14:51,1,10,SDG 34,0,0,Eric Parker left end for 20 yards (tackle by Shaunard Harts),1.200,2.520
1,14:27,1,10,KAN 46,0,0,LaDainian Tomlinson up the middle for -1 yards (tackle by John Browning),2.520,1.840
1,13:49,2,11,KAN 47,0,0,Drew Brees pass complete to Antonio Gates for 10 yards (tackle by Willie Pile),1.840,2.480
1,13:16,3,1,KAN 37,0,0,LaDainian Tomlinson right end for 5 yards (tackle by Eric Hicks),2.480,3.450
1,12:53,1,10,KAN 32,0,0,Drew Brees pass complete to LaDainian Tomlinson for 3 yards (tackle by Quinton Caver),3.450,3.310
1,12:13,2,7,KAN 29,0,0,Drew Brees up the middle for 14 yards (tackle by Shaunard Harts and Willie Pile),3.310,4.580
1,11:33,1,10,KAN 15,0,0,Drew Brees pass complete to Antonio Gates for 4 yards (tackle by Willie Pile),4.580,4.640
1,10:52,2,6,KAN 11,0,0,LaDainian Tomlinson up the middle for no gain (tackle by Quinton Caver),4.640,3.780
1,10:08,3,6,KAN 11,0,0,Drew Brees pass incomplete intended for Antonio Gates,3.780,2.720
1,10:08,4,6,KAN 11,0,0,Nate Kaeding 29 yard field goal no good,2.720,-0.280
1,10:00,1,10,KAN 20,0,0,Derrick Blaylock left end for 6 yards (tackle by Donnie Edwards),0.280,0.540
1,9:24,2,4,KAN 26,0,0,Trent Green pass complete to Jason Dunn for no gain,0.540,-0.160
1,8:44,3,4,KAN 26,0,0,Trent Green pass complete to Tony Richardson for 3 yards (tackle by Stephen Cooper),-0.160,-1.440
1,8:06,4,1,KAN 29,0,0,Stephen Cheek punts 28 yards,-1.440,-1.800
1,8:01,1,10,SDG 43,0,0,Drew Brees pass complete to Eric Parker for 55 yards (tackle by William Bartee),1.800,6.740
1,7:25,1,2,KAN 2,0,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Shaunard Harts),6.740,5.910
1,7:05,2,1,KAN 1,6,0,"LaDainian Tomlinson up the middle for 1 yard, touchdown",5.910,7.000
1,,,,KAN 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,Nate Kaeding kicks off 52 yards,0.000,1.600
1,7:01,1,10,KAN 40,7,0,Trent Green pass complete to Tony Gonzalez for 12 yards (tackle by Steve Foley),1.600,2.390
1,6:25,1,10,SDG 48,7,0,Derrick Blaylock up the middle for 1 yard (tackle by Jamal Williams and Donnie Edwards),2.390,1.980
1,5:48,2,9,SDG 47,7,0,"Trent Green pass complete to Derrick Blaylock for 7 yards (tackle by Donnie Edwards). Penalty on Sammy Davis: Illegal Contact, 5 yards (no play)",1.980,2.790
1,5:30,1,10,SDG 42,7,0,Trent Green pass incomplete intended for Johnnie Morton (defended by Steve Foley),2.790,2.240
1,5:24,2,10,SDG 42,7,0,Derrick Blaylock right end for 10 yards (tackle by Jerry Wilson),2.240,3.450
1,4:49,1,10,SDG 32,7,0,Trent Green pass complete to Tony Gonzalez for 27 yards (tackle by Quentin Jammer),3.450,6.060
1,4:32,1,5,SDG 5,7,6,"Derrick Blaylock right end for 5 yards, touchdown",6.060,7.000
1,,,,SDG 2,7,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,7,7,"Lawrence Tynes kicks off 68 yards, returned by Tim Dwight for 24 yards (tackle by Gary Stills)",0.000,0.670
1,4:18,1,10,SDG 26,7,7,LaDainian Tomlinson right end for 1 yard (tackle by Kawika Mitchell),0.670,0.270
1,3:41,2,9,SDG 27,7,7,Drew Brees pass complete to LaDainian Tomlinson for 8 yards (tackle by Scott Fujita),0.270,0.630
1,2:49,3,1,SDG 35,7,7,Drew Brees up the middle for 2 yards (tackle by Ryan Sims),0.630,1.400
1,2:11,1,10,SDG 37,7,7,Drew Brees pass complete to Justin Peelle for 4 yards (tackle by Quinton Caver),1.400,1.400
1,1:34,2,6,SDG 41,7,7,LaDainian Tomlinson up the middle for 3 yards (tackle by Willie Pile),1.400,1.090
1,0:52,3,3,SDG 44,7,7,"Drew Brees pass complete to Keenan McCardell for 10 yards (tackle by Eric Warfield). Penalty on Keenan McCardell: Offensive Pass Interference, 10 yards (no play)",1.090,-0.230
1,0:23,3,13,SDG 34,7,7,Drew Brees pass incomplete intended for LaDainian Tomlinson (defended by Dexter McCleon),-0.230,-1.110
1,0:05,4,13,SDG 34,7,7,"Mike Scifres punts 55 yards, returned by Dante Hall for 1 yard (tackle by Shaun Phillips). Penalty on Julian Battle: Illegal Block Above the Waist, 6 yards",-1.110,0.380
1,0:05,1,10,KAN 6,7,7,Larry Johnson up the middle for 5 yards (tackle by Randall Godfrey),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,KAN 11,7,7,Larry Johnson left end for 13 yards (tackle by Terrence Kiel),-0.420,0.540
2,14:16,1,10,KAN 24,7,7,Trent Green pass complete to Dante Hall for 8 yards (tackle by Quentin Jammer),0.540,1.080
2,13:38,2,2,KAN 32,7,7,Larry Johnson right end for 4 yards (tackle by Donnie Edwards),1.080,1.330
2,12:57,1,10,KAN 36,7,7,Trent Green pass complete to Tony Gonzalez for 10 yards (tackle by Terrence Kiel),1.330,1.990
2,12:34,1,10,KAN 46,7,7,Trent Green pass incomplete intended for Larry Johnson,1.990,1.450
2,12:28,2,10,KAN 46,7,7,Trent Green pass complete to Tony Gonzalez for 12 yards (tackle by Sammy Davis),1.450,2.790
2,11:53,1,10,SDG 42,7,7,Trent Green pass incomplete intended for Larry Johnson,2.790,2.240
2,11:48,2,10,SDG 42,7,7,Trent Green pass complete to Jason Dunn for 16 yards (tackle by Donnie Edwards),2.240,3.840
2,11:08,1,10,SDG 26,7,7,Larry Johnson right end for 11 yards (tackle by Jerry Wilson),3.840,4.580
2,10:21,1,10,SDG 15,7,7,Trent Green pass complete to Eddie Kennison for 9 yards (tackle by Quentin Jammer),4.580,5.600
2,9:46,2,1,SDG 6,7,7,Larry Johnson up the middle for no gain (tackle by Randall Godfrey and Donnie Edwards),5.600,4.900
2,9:08,3,1,SDG 6,7,13,"Larry Johnson up the middle for 6 yards, touchdown",4.900,7.000
2,,,,SDG 2,7,14,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,KAN 30,7,14,"Lawrence Tynes kicks off 61 yards, returned by Tim Dwight for 26 yards (tackle by Rich Scanlon)",0.000,1.270
2,9:00,1,10,SDG 35,7,14,LaDainian Tomlinson up the middle for 2 yards (tackle by Jimmy Wilkerson),1.270,0.990
2,8:27,2,8,SDG 37,7,14,LaDainian Tomlinson left tackle for 14 yards (tackle by Shaunard Harts),0.990,2.320
2,7:46,1,10,KAN 49,7,14,Drew Brees pass complete to Keenan McCardell for 6 yards (tackle by Shaunard Harts),2.320,2.590
2,7:06,2,4,KAN 43,7,14,Drew Brees pass incomplete intended for Keenan McCardell,2.590,1.880
2,7:00,3,4,KAN 43,7,14,Drew Brees pass complete to Keenan McCardell for 10 yards (tackle by Dexter McCleon),1.880,3.380
2,6:33,1,10,KAN 33,7,14,"Drew Brees pass complete to LaDainian Tomlinson for -1 yards (tackle by Scott Fujita). Penalty on Keenan McCardell: Offensive Pass Interference, 10 yards (no play)",3.380,2.720
2,6:07,1,20,KAN 43,7,14,"Drew Brees for no gain. Drew Brees fumbles, recovered by Drew Brees at KAN-46",2.720,1.080
2,5:49,2,23,KAN 46,7,14,LaDainian Tomlinson up the middle for 8 yards (tackle by Scott Fujita),1.080,1.490
2,5:10,3,15,KAN 38,7,14,Drew Brees pass complete to Antonio Gates for 15 yards (tackle by Scott Fujita),1.490,4.040
2,4:38,1,10,KAN 23,7,14,LaDainian Tomlinson up the middle for 3 yards (tackle by Quinton Caver and Jared Allen),4.040,3.900
2,3:55,2,7,KAN 20,7,14,Drew Brees pass incomplete intended for Antonio Gates,3.900,3.200
2,3:49,,,,7,14,Timeout #1 by San Diego Chargers,0.000,3.200
