Unnamed: 0,SDG,KAN
First Downs,25,20
Rush-Yds-TDs,31-127-2,20-110-3
Cmp-Att-Yd-TD-INT,28-37-378-2-0,21-34-208-0-1
Sacked-Yards,1-7,1-8
Net Pass Yards,371,200
Total Yards,498,310
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,9-60,5-26
Third Down Conv.,8-16,3-10
Fourth Down Conv.,0-0,0-1
Time of Possession,36:46,23:14
