Quarter,Time,Tm,Detail,HOU,JAX
1.0,8:59,Jaguars,Josh Scobee 38 yard field goal,0,3
,4:31,Texans,Neil Rackers 24 yard field goal,3,3
2.0,5:32,Jaguars,Maurice Jones-Drew 3 yard rush (Josh Scobee kick),3,10
,0:38,Jaguars,Maurice Jones-Drew 9 yard rush (Josh Scobee kick),3,17
3.0,11:19,Texans,Arian Foster 1 yard rush (Neil Rackers kick),10,17
,5:10,Texans,Andre Johnson 9 yard pass from Matt Schaub (Neil Rackers kick),17,17
4.0,6:57,Jaguars,Zach Miller 52 yard pass from David Garrard (Josh Scobee kick),17,24
,4:19,Texans,Kevin Walter 18 yard pass from Matt Schaub (Neil Rackers kick),24,24
,0:00,Jaguars,Mike Thomas 50 yard pass from David Garrard (Josh Scobee kick),24,31
