Unnamed: 0,HOU,JAX
First Downs,20,29
Rush-Yds-TDs,21-81-1,36-165-2
Cmp-Att-Yd-TD-INT,22-32-314-2-0,24-31-342-2-0
Sacked-Yards,0-0,2-16
Net Pass Yards,314,326
Total Yards,395,491
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,8-49,8-62
Third Down Conv.,4-10,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,24:37,35:23
