Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
2,0:41,1,10,MIN 25,0,10,Shaun Hill pass incomplete short right intended for Jerick McKinnon,0.610,0.060
2,0:37,2,10,MIN 25,0,10,Shaun Hill pass incomplete short left intended for Charles Johnson,0.060,-0.620
2,0:32,3,10,MIN 25,0,10,Shaun Hill pass complete short right to Stefon Diggs for 13 yards (tackle by Da'Norris Searcy),-0.620,-0.620
2,0:25,3,10,MIN 25,0,10,Timeout #1 by Minnesota Vikings,-0.620,1.470
2,0:25,1,10,MIN 38,0,10,Shaun Hill pass incomplete short right intended for Charles Johnson (defended by Jason McCourty),1.470,0.920
2,0:20,2,10,MIN 38,0,10,Shaun Hill pass complete deep middle to Kyle Rudolph for 21 yards (tackle by Da'Norris Searcy),0.920,0.920
2,0:14,2,10,MIN 38,0,10,Timeout #2 by Minnesota Vikings,0.920,2.850
2,0:14,1,10,TEN 41,0,10,Shaun Hill pass incomplete short middle intended for Adam Thielen (defended by Brice McCain),2.850,2.310
2,0:09,2,10,TEN 41,0,10,Shaun Hill pass complete short middle to Jerick McKinnon for 3 yards (tackle by Da'Norris Searcy),2.310,2.310
2,0:03,2,10,TEN 41,0,10,Timeout #3 by Minnesota Vikings,2.310,2.310
2,0:03,2,10,TEN 41,0,10,Timeout #2 by Tennessee Titans,2.310,2.020
2,0:03,3,7,TEN 38,0,10,Blair Walsh 56 yard field goal no good,2.020,1.930
Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,0,10,"Ryan Succop kicks off 60 yards, returned by Cordarrelle Patterson for 61 yards (tackle by Brice McCain)",0.000,3.310
3,14:49,1,10,TEN 34,0,10,Shaun Hill pass incomplete deep left intended for Charles Johnson,3.310,2.770
3,14:43,2,10,TEN 34,0,10,Adrian Peterson left guard for 2 yards (tackle by Jurrell Casey),2.770,2.350
3,14:06,3,8,TEN 32,0,10,Shaun Hill pass incomplete short left intended for Charles Johnson,2.350,1.240
3,14:01,4,8,TEN 32,3,10,Blair Walsh 50 yard field goal good,1.240,3.000
3,14:01,,,MIN 35,3,10,"Blair Walsh kicks off 64 yards, returned by Marc Mariani for 19 yards (tackle by Jerick McKinnon)",0.000,-0.280
3,13:51,1,10,TEN 20,3,10,Marcus Mariota pass complete short left to Rishard Matthews for 6 yards (tackle by Trae Waynes),0.280,0.540
3,13:17,2,4,TEN 26,3,10,DeMarco Murray left end for 3 yards (tackle by Harrison Smith and Linval Joseph),0.540,0.230
3,12:33,3,1,TEN 29,3,10,Derrick Henry middle for no gain (tackle by Harrison Smith),0.230,-1.440
3,11:39,4,1,TEN 29,3,10,"Brett Kern punts 44 yards, returned by Marcus Sherels for no gain",-1.440,-0.740
3,11:30,1,10,MIN 27,3,10,Adrian Peterson right guard for -2 yards (tackle by Da'Norris Searcy),0.740,-0.070
3,10:44,2,12,MIN 25,3,10,Shaun Hill pass complete short right to Adam Thielen for 15 yards (tackle by Brice McCain),-0.070,1.600
3,10:03,1,10,MIN 40,3,10,Adrian Peterson right guard for 2 yards (tackle by Karl Klug),1.600,1.320
3,9:24,2,8,MIN 42,3,10,Shaun Hill pass complete short middle to Stefon Diggs for 14 yards (tackle by Jason McCourty),1.320,2.650
3,8:57,1,10,TEN 44,3,10,Shaun Hill pass complete short right to Stefon Diggs for 10 yards (tackle by Da'Norris Searcy),2.650,3.310
3,8:25,1,10,TEN 34,3,10,Adrian Peterson middle for 3 yards (tackle by Derrick Morgan and Jurrell Casey),3.310,3.180
3,7:49,2,7,TEN 31,3,10,Cordarrelle Patterson right end for 8 yards (tackle by Kevin Byard),3.180,4.040
3,7:16,1,10,TEN 23,3,10,Shaun Hill pass incomplete short right intended for Adrian Peterson,4.040,3.500
3,7:12,2,10,TEN 23,3,10,Adrian Peterson middle for -1 yards (tackle by Angelo Blackson),3.500,2.680
3,6:32,3,11,TEN 24,3,10,Shaun Hill right tackle for 9 yards (tackle by Daimion Stafford),2.680,2.570
3,6:04,4,2,TEN 15,6,10,Blair Walsh 33 yard field goal good,2.570,3.000
3,6:04,,,MIN 35,6,10,"Blair Walsh kicks off 60 yards, returned by Marc Mariani for 29 yards (tackle by Marcus Sherels)",0.000,-1.200
3,5:53,1,10,TEN 34,6,10,Marcus Mariota sacked by Linval Joseph for -9 yards,1.200,-0.560
3,5:11,2,19,TEN 25,6,10,Marcus Mariota pass complete deep middle to Tajae Sharpe for 17 yards (tackle by Trae Waynes),-0.560,1.030
3,4:33,3,2,TEN 42,6,10,Marcus Mariota pass complete short left to Andre Johnson for 16 yards (tackle by Andrew Sendejo),1.030,2.790
3,3:54,1,10,MIN 42,6,10,Derrick Henry left tackle for -4 yards (tackle by Harrison Smith),2.790,1.700
3,3:24,2,14,MIN 46,6,10,Marcus Mariota middle for 10 yards (tackle by Andrew Sendejo),1.700,2.340
3,2:44,3,4,MIN 36,6,10,Marcus Mariota pass complete short left to Harry Douglas for 5 yards (tackle by Eric Kendricks),2.340,3.510
3,2:02,1,10,MIN 31,6,10,Marcus Mariota pass complete short right to Andre Johnson for 7 yards (tackle by Terence Newman),3.510,3.910
3,1:38,2,3,MIN 24,12,10,"Marcus Mariota pass incomplete short left intended for Harry Douglas is intercepted by Eric Kendricks at MIN-23 and returned for 77 yards, touchdown",3.910,-7.000
3,1:24,,,TEN 24,12,10,Blair Walsh kicks extra point no good,0.000,-1.000
3,1:24,,,MIN 35,12,10,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
3,1:24,1,10,TEN 25,12,10,"Penalty on Quinton Spain: False Start, 5 yards (no play)",0.610,0.280
3,1:24,1,15,TEN 20,12,10,DeMarco Murray right tackle for 4 yards (tackle by Terence Newman and Anthony Barr),0.280,-0.070
3,0:45,2,11,TEN 24,12,10,Marcus Mariota pass incomplete short right intended for Harry Douglas,-0.070,-0.760
3,0:40,3,11,TEN 24,12,10,Marcus Mariota pass incomplete short left intended for Rishard Matthews,-0.760,-1.770
3,0:35,4,11,TEN 24,12,10,"Brett Kern punts 52 yards, returned by Marcus Sherels for -2 yards, lateral to Cordarrelle Patterson for 9 yards (tackle by Wesley Woodyard)",-1.770,-1.000
3,0:22,1,10,MIN 31,12,10,Shaun Hill pass incomplete short right intended for Adrian Peterson,1.000,0.460
3,0:16,2,10,MIN 31,12,10,Adrian Peterson right tackle for -5 yards (tackle by Kevin Byard),0.460,-0.890
Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,15,MIN 26,12,10,Shaun Hill pass complete deep left to Adam Thielen for 16 yards (tackle by Brice McCain),-0.890,1.730
4,14:19,1,10,MIN 42,12,10,Adrian Peterson right guard for 3 yards (tackle by Al Woods),1.730,1.590
4,13:31,2,7,MIN 45,12,10,Shaun Hill pass complete short right to Cordarrelle Patterson for 6 yards (tackle by Perrish Cox),1.590,1.690
4,12:50,3,1,TEN 49,12,10,Shaun Hill pass complete short left to Kyle Rudolph for 18 yards (tackle by Da'Norris Searcy),1.690,3.510
4,12:18,1,10,TEN 31,12,10,Adrian Peterson middle for 4 yards (tackle by Karl Klug),3.510,3.510
4,11:32,2,6,TEN 27,12,10,Shaun Hill pass incomplete short right intended for Kyle Rudolph (defended by Da'Norris Searcy),3.510,2.810
4,11:27,3,6,TEN 27,12,10,Shaun Hill pass incomplete short right intended for Kyle Rudolph,2.810,1.700
4,11:22,4,6,TEN 27,15,10,Blair Walsh 45 yard field goal good,1.700,3.000
4,11:22,,,MIN 35,15,10,"Blair Walsh kicks off 60 yards, returned by Marc Mariani for 20 yards (tackle by Adam Thielen)",0.000,-0.610
4,11:11,1,10,TEN 25,21,10,"Marcus Mariota for no gain. Marcus Mariota fumbles, recovered by Danielle Hunter at TEN-24 and returned for 24 yards, touchdown",0.610,-7.000
4,11:03,,,TEN 25,22,10,Blair Walsh kicks extra point good,0.000,0.000
4,11:03,,,MIN 35,22,10,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
4,11:03,1,10,TEN 25,22,10,Marcus Mariota pass complete short left to Tajae Sharpe for 15 yards (tackle by Trae Waynes),0.610,1.600
4,10:26,1,10,TEN 40,22,10,DeMarco Murray left tackle for 2 yards (tackle by Danielle Hunter),1.600,1.320
4,9:48,2,8,TEN 42,22,10,"DeMarco Murray middle for 1 yard (tackle by Linval Joseph). DeMarco Murray fumbles (forced by Linval Joseph), recovered by Andrew Sendejo at TEN-48 and returned for 2 yards (tackle by Taylor Lewan)",1.320,-2.520
4,9:40,1,10,TEN 46,22,10,Adrian Peterson middle for 1 yard (tackle by Daimion Stafford),2.520,2.110
4,9:12,2,9,TEN 45,22,10,Adrian Peterson right tackle for 4 yards (tackle by Austin Johnson and Avery Williamson),2.110,1.950
4,8:26,3,5,TEN 41,22,10,Shaun Hill pass incomplete deep left intended for Charles Johnson,1.950,0.530
4,8:21,4,5,TEN 41,22,10,"Jeff Locke punts 26 yards, fair catch by Marc Mariani",0.530,0.220
4,8:14,1,10,TEN 15,22,10,Marcus Mariota pass incomplete deep left intended for Tajae Sharpe,-0.220,-0.710
4,8:09,2,10,TEN 15,22,10,Marcus Mariota sacked by Danielle Hunter for -10 yards,-0.710,-2.590
4,7:28,3,20,TEN 5,22,10,Marcus Mariota pass incomplete deep left intended for Tajae Sharpe,-2.590,-2.490
4,7:22,4,20,TEN 5,22,10,"Brett Kern punts 64 yards, returned by Marcus Sherels for 12 yards (tackle by Antwon Blake)",-2.490,-1.800
4,7:09,1,10,MIN 43,22,10,Matt Asiata left guard for 2 yards (tackle by Wesley Woodyard),1.800,1.520
4,6:26,2,8,MIN 45,22,10,Matt Asiata right guard for 6 yards (tackle by Da'Norris Searcy),1.520,1.620
4,5:41,3,2,TEN 49,22,10,Shaun Hill pass complete deep left to Stefon Diggs for 33 yards (tackle by Jason McCourty),1.620,4.510
4,4:54,1,10,TEN 16,22,10,Matt Asiata middle for 6 yards (tackle by Avery Williamson),4.510,4.970
4,4:08,2,4,TEN 10,22,10,Matt Asiata middle for -1 yards (tackle by Al Woods),4.970,3.940
4,3:27,3,5,TEN 11,22,10,Stefon Diggs right end for -1 yards (tackle by Da'Norris Searcy),3.940,3.940
4,2:41,3,5,TEN 11,22,10,Timeout #1 by Minnesota Vikings,3.940,2.660
4,2:41,4,6,TEN 12,25,10,Blair Walsh 30 yard field goal good,2.660,3.000
4,2:41,,,MIN 35,25,10,"Blair Walsh kicks off 70 yards, returned by Marc Mariani for 31 yards (tackle by Jayron Kearse)",0.000,-0.670
4,2:30,1,10,TEN 26,25,10,Marcus Mariota pass complete short right to Delanie Walker for 10 yards (tackle by Terence Newman),0.670,1.330
4,2:09,1,10,TEN 36,25,10,Marcus Mariota pass incomplete deep right intended for Andre Johnson,1.330,0.790
4,2:04,2,10,TEN 36,25,10,Marcus Mariota pass incomplete short middle intended for Andre Johnson,0.790,0.100
4,1:58,3,10,TEN 36,25,10,Marcus Mariota pass complete short middle to Delanie Walker for 26 yards (tackle by Harrison Smith),0.100,0.100
4,1:49,3,10,TEN 36,25,10,Timeout #1 by Tennessee Titans,0.100,3.050
4,1:49,1,10,MIN 38,25,10,Marcus Mariota pass complete short right to Andre Johnson for 7 yards (tackle by Terence Newman),3.050,3.450
4,1:27,2,3,MIN 31,25,10,"Marcus Mariota pass incomplete short middle intended for Delanie Walker is intercepted by Harrison Smith at MIN-18 and returned for 44 yards. Penalty on Everson Griffen: Roughing the Passer, 15 yards (no play)",3.450,4.510
4,1:16,1,10,MIN 16,25,10,Marcus Mariota pass complete short right to Rishard Matthews for 9 yards (tackle by Harrison Smith and Eric Kendricks),4.510,5.540
4,0:56,2,1,MIN 7,25,10,Marcus Mariota pass complete short left to Tajae Sharpe for 3 yards (tackle by Trae Waynes),5.540,6.280
4,0:37,1,4,MIN 4,25,10,Marcus Mariota pass incomplete short left intended for Harry Douglas,6.280,5.340
4,0:32,2,4,MIN 4,25,16,"Marcus Mariota pass complete short middle to DeMarco Murray for 4 yards, touchdown",5.340,7.000
4,0:32,2,,MIN 4,25,16,"Two Point Attempt: Marcus Mariota pass incomplete intended for DeMarco Murray, conversion fails",5.340,-1.000
4,0:32,,,TEN 35,25,16,Ryan Succop kicks onside 15 yards,0.000,-2.260
4,0:27,1,10,,25,16,Shaun Hill kneels for -1 yards,2.260,1.580
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
