Unnamed: 0,MIN,TEN
First Downs,15,19
Rush-Yds-TDs,28-65-0,22-64-0
Cmp-Att-Yd-TD-INT,18-33-236-0-0,25-41-271-2-1
Sacked-Yards,0-0,2-19
Net Pass Yards,236,252
Total Yards,301,316
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,3-39,2-10
Third Down Conv.,6-14,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:35,30:25
