Quarter,Time,Down,ToGo,Location,SFO,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"David Akers kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,WAS 20,0,0,Roy Helu right end for 16 yards (tackle by Patrick Willis),0.280,1.330
1,14:20,1,10,WAS 36,0,0,Roy Helu left tackle for 2 yards (tackle by Isaac Sopoaga and Parys Haralson),1.330,1.060
1,13:43,2,8,WAS 38,0,0,Roy Helu right guard for 2 yards (tackle by Donte Whitner and Justin Smith),1.060,0.630
1,13:03,3,6,WAS 40,0,0,John Beck pass incomplete short middle intended for Terrence Austin,0.630,-0.720
1,12:58,4,6,WAS 40,0,0,"Saverio Rocca punts 53 yards, returned by Ted Ginn Jr. for 11 yards (tackle by Keyaron Fox)",-0.720,-0.040
1,12:16,1,10,SFO 18,0,0,Frank Gore up the middle for 12 yards (tackle by Reed Doughty and Josh Wilson),0.040,0.940
1,12:06,1,10,SFO 30,0,0,Kendall Hunter left end for 6 yards (tackle by Brian Orakpo and London Fletcher),0.940,1.200
1,11:26,2,4,SFO 36,0,0,Alex Smith pass complete short middle to Michael Crabtree for 6 yards (tackle by Ryan Kerrigan),1.200,1.730
1,10:33,1,10,SFO 42,0,0,Alex Smith pass complete short middle to Vernon Davis for 6 yards (tackle by LaRon Landry),1.730,2.000
1,10:06,2,4,SFO 48,0,0,Frank Gore left end for 3 yards (tackle by Ryan Kerrigan and Adam Carriker),2.000,1.690
1,10:06,3,1,WAS 49,0,0,"Penalty on Alex Smith: Delay of Game, 5 yards (no play)",1.690,1.030
1,8:49,3,6,SFO 46,0,0,Alex Smith sacked by Ryan Kerrigan for -7 yards,1.030,-0.780
1,8:23,4,13,SFO 39,0,0,"Andy Lee punts 61 yards, touchback",-0.780,-0.280
1,8:14,1,10,WAS 20,0,0,Roy Helu right tackle for 4 yards (tackle by Ahmad Brooks and Ricky Jean-Francois),0.280,0.270
1,7:37,2,6,WAS 24,0,0,John Beck pass complete short left to Roy Helu for 2 yards (tackle by Dashon Goldson),0.270,-0.160
1,6:49,,,,0,0,Timeout #1 by Washington Redskins,0.000,-0.160
1,6:49,3,4,WAS 26,0,0,John Beck pass incomplete short middle intended for Roy Helu,-0.160,-1.630
1,6:44,4,4,WAS 26,0,0,"Saverio Rocca punts 40 yards, returned by Ted Ginn Jr. for -2 yards (tackle by Byron Westbrook)",-1.630,-1.070
1,6:34,1,10,SFO 32,0,0,Alex Smith pass complete short right to Michael Crabtree for 21 yards (tackle by DeAngelo Hall and Reed Doughty),1.070,2.460
1,5:49,1,10,WAS 47,0,0,Alex Smith pass incomplete short left intended for Braylon Edwards,2.460,1.910
1,5:44,2,10,WAS 47,0,0,Frank Gore left end for -4 yards (tackle by Ryan Kerrigan),1.910,0.700
1,4:59,3,14,SFO 49,0,0,Alex Smith pass incomplete short middle intended for Frank Gore,0.700,-0.130
1,4:52,4,14,SFO 49,0,0,"Andy Lee punts 48 yards, muffed catch by Brandon Banks, recovered by Brandon Banks and returned for no gain",-0.130,0.380
1,4:41,1,10,WAS 3,0,0,John Beck pass incomplete short right intended for Darrel Young (defended by Justin Smith),-0.380,-0.780
1,4:28,2,10,WAS 3,0,0,"John Beck pass incomplete short middle intended for Roy Helu. Penalty on Justin Smith: Defensive Holding, 5 yards (no play)",-0.780,-0.380
1,4:22,1,10,WAS 8,0,0,Roy Helu right end for 2 yards (tackle by Ahmad Brooks and Ricky Jean-Francois),-0.380,-0.630
1,3:39,2,8,WAS 10,0,0,John Beck pass complete short left to Darrel Young for 12 yards (tackle by Patrick Willis),-0.630,0.410
1,3:05,1,10,WAS 22,0,0,Roy Helu left tackle for 3 yards (tackle by Navorro Bowman and Parys Haralson),0.410,0.270
1,2:25,2,7,WAS 25,0,0,"Roy Helu right end for 6 yards (tackle by Ahmad Brooks and Navorro Bowman). Penalty on Ricky Jean-Francois: Defensive Offside, 5 yards (no play)",0.270,0.950
1,2:00,2,2,WAS 30,0,0,John Beck pass complete short middle to Leonard Hankerson for 8 yards (tackle by Donte Whitner),0.950,1.470
1,1:17,1,10,WAS 38,0,0,Roy Helu left end for no gain (tackle by Tarell Brown),1.470,0.920
1,0:34,2,10,WAS 38,0,0,John Beck pass incomplete deep left intended for Fred Davis is intercepted by Dashon Goldson at SFO-44,0.920,-1.860
1,0:25,1,10,SFO 44,0,0,Frank Gore left end for 9 yards (tackle by LaRon Landry and Reed Doughty),1.860,2.530
Quarter,Time,Down,ToGo,Location,SFO,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,WAS 47,0,0,Frank Gore up the middle for 5 yards (tackle by London Fletcher),2.530,2.790
2,14:18,1,10,WAS 42,0,0,Alex Smith pass complete short left to Frank Gore for 7 yards (tackle by LaRon Landry),2.790,3.190
2,13:28,2,3,WAS 35,0,0,Kendall Hunter right tackle for 1 yard (tackle by Ryan Kerrigan and London Fletcher),3.190,2.610
2,12:56,3,2,WAS 34,0,0,Alex Smith pass incomplete short right intended for Vernon Davis,2.610,1.100
2,12:48,4,2,WAS 34,3,0,David Akers 52 yard field goal good,1.100,3.000
2,,,,SFO 35,3,0,"David Akers kicks off 66 yards, returned by Brandon Banks for 22 yards (tackle by Bruce Miller)",0.000,0.340
2,12:36,1,10,WAS 21,3,0,Roy Helu right end for 11 yards (tackle by Patrick Willis and Ahmad Brooks),0.340,1.070
2,12:04,1,10,WAS 32,3,0,John Beck pass complete short middle to Roy Helu for 3 yards (tackle by Patrick Willis),1.070,0.930
2,11:24,2,7,WAS 35,3,0,John Beck pass incomplete short middle intended for Niles Paul,0.930,0.230
2,11:19,3,7,WAS 35,3,0,John Beck pass complete short right to Jabar Gaffney for 12 yards (tackle by Chris Culliver),0.230,2.060
2,10:47,1,10,WAS 47,3,0,Ryan Torain right end for 2 yards (tackle by Patrick Willis),2.060,1.790
2,10:07,2,8,WAS 49,3,0,John Beck pass incomplete short left intended for Fred Davis,1.790,1.090
2,10:03,3,8,WAS 49,3,0,"John Beck pass complete short right to Jabar Gaffney for 10 yards (tackle by Chris Culliver). Penalty on Trent Williams: Personal Foul, 15 yards, Penalty on Ahmad Brooks: Defensive Offside (Declined) (no play)",1.090,-0.890
2,9:33,3,23,WAS 34,3,0,John Beck pass complete short middle to Roy Helu for 8 yards (tackle by Donte Whitner and Navorro Bowman),-0.890,-0.590
2,9:33,4,15,WAS 42,3,0,"Saverio Rocca punts 45 yards, returned by Ted Ginn Jr. for 11 yards (tackle by Keyaron Fox)",-0.590,-0.540
2,8:55,1,10,SFO 24,3,0,Alex Smith pass complete short middle to Michael Crabtree for 13 yards (tackle by Reed Doughty),0.540,1.400
2,8:20,1,10,SFO 37,3,0,Frank Gore right end for 13 yards (tackle by LaRon Landry),1.400,2.260
2,7:38,1,10,,3,0,Kendall Hunter right end for 1 yard (tackle by Ryan Kerrigan and DeAngelo Hall),2.260,1.850
2,6:55,2,9,WAS 49,3,0,Alex Smith pass complete short right to Delanie Walker for 5 yards (tackle by London Fletcher and LaRon Landry),1.850,1.820
2,6:15,3,4,WAS 44,3,0,Alex Smith pass incomplete short middle intended for Vernon Davis,1.820,0.330
2,6:09,4,4,WAS 44,3,0,Andy Lee punts 35 yards,0.330,0.380
2,5:57,1,10,WAS 9,3,0,Roy Helu right tackle for no gain (tackle by Parys Haralson and Patrick Willis),-0.380,-0.780
2,5:15,2,10,WAS 9,3,0,John Beck left end for 2 yards (tackle by Ricky Jean-Francois),-0.780,-1.190
2,4:30,3,8,WAS 11,3,0,John Beck pass incomplete deep middle intended for Jabar Gaffney,-1.190,-2.490
2,4:25,4,8,WAS 11,3,0,"Saverio Rocca punts 52 yards, returned by Ted Ginn Jr. for 8 yards (tackle by Keyaron Fox)",-2.490,-1.930
2,4:13,1,10,SFO 45,3,0,Alex Smith left end for 8 yards (tackle by Rocky McIntosh),1.930,2.460
2,3:34,2,2,WAS 47,3,0,Frank Gore right end for 27 yards (tackle by DeAngelo Hall),2.460,4.240
2,3:02,1,10,WAS 20,3,0,Kendall Hunter right end for 8 yards (tackle by Reed Doughty),4.240,5.040
2,2:33,2,2,WAS 12,3,0,Kendall Hunter left tackle for 1 yard (tackle by Josh Wilson),5.040,4.590
2,2:00,3,1,WAS 11,3,0,Alex Smith pass incomplete short right intended for Frank Gore,4.590,2.850
2,1:55,,,,3,0,Timeout #1 by San Francisco 49ers,0.000,2.850
2,1:55,4,1,WAS 11,3,0,"Penalty on Justin Peelle: False Start, 5 yards (no play)",2.850,2.400
2,1:55,4,6,WAS 16,6,0,David Akers 34 yard field goal good,2.400,3.000
