Unnamed: 0,SFO,WAS
First Downs,15,17
Rush-Yds-TDs,32-138-0,14-52-0
Cmp-Att-Yd-TD-INT,17-24-200-1-0,30-47-254-1-1
Sacked-Yards,2-12,2-3
Net Pass Yards,188,251
Total Yards,326,303
Fumbles-Lost,1-1,4-2
Turnovers,1,3
Penalties-Yards,9-55,3-35
Third Down Conv.,3-12,5-12
Fourth Down Conv.,0-0,0-2
Time of Possession,32:19,27:41
