Quarter,Time,Tm,Detail,SFO,WAS
2.0,12:43,49ers,David Akers 52 yard field goal,3,0
,1:50,49ers,David Akers 34 yard field goal,6,0
,1:03,49ers,Bruce Miller 30 yard pass from Alex Smith (David Akers kick),13,0
,0:00,Redskins,Graham Gano 59 yard field goal,13,3
3.0,4:23,49ers,David Akers 45 yard field goal,16,3
4.0,7:41,49ers,David Akers 20 yard field goal,19,3
,1:10,Redskins,Jabar Gaffney 9 yard pass from John Beck (Leonard Hankerson pass from John Beck),19,11
