Unnamed: 0,SDG,KAN
First Downs,15,18
Rush-Yds-TDs,18-44-0,25-150-0
Cmp-Att-Yd-TD-INT,24-43-263-0-1,15-23-191-1-1
Sacked-Yards,5-27,2-12
Net Pass Yards,236,179
Total Yards,280,329
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-48,8-53
Third Down Conv.,6-18,6-11
Fourth Down Conv.,3-3,0-0
Time of Possession,31:08,28:52
