Quarter,Time,Tm,Detail,KAN,SDG
1,13:03,Chiefs,Knile Davis 17 yard rush (Ryan Succop kick),7,0
,10:37,Chargers,Ladarius Green 22 yard pass from Philip Rivers (Nick Novak kick),7,7
,5:07,Chiefs,Dexter McCluster 2 yard pass from Chase Daniel (Ryan Succop kick),14,7
2,14:56,Chargers,Antonio Gates 4 yard pass from Philip Rivers (Nick Novak kick),14,14
,1:07,Chiefs,Knile Davis 2 yard rush (Ryan Succop kick),21,14
3,7:27,Chiefs,Ryan Succop 46 yard field goal,24,14
4,11:45,Chargers,Eddie Royal 6 yard pass from Philip Rivers (Nick Novak kick),24,21
,3:21,Chargers,Nick Novak 22 yard field goal,24,24
OT,5:30,Chargers,Nick Novak 36 yard field goal,24,27
