Unnamed: 0,KAN,SDG
First Downs,22,19
Rush-Yds-TDs,37-143-2,36-186-0
Cmp-Att-Yd-TD-INT,21-30-200-1-0,22-33-229-3-1
Sacked-Yards,2-11,3-10
Net Pass Yards,189,219
Total Yards,332,405
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,1-5,4-22
Third Down Conv.,6-14,9-17
Fourth Down Conv.,0-1,1-1
Time of Possession,34:36,37:08
