Unnamed: 0,NWE,DEN
First Downs,28,17
Rush-Yds-TDs,29-99-1,28-118-0
Cmp-Att-Yd-TD-INT,28-37-303-3-0,18-33-221-1-1
Sacked-Yards,1-6,0-0
Net Pass Yards,297,221
Total Yards,396,339
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,1-5,5-28
Third Down Conv.,4-11,8-15
Fourth Down Conv.,1-3,0-0
Time of Possession,29:43,30:17
