Quarter,Time,Tm,Detail,NWE,DEN
1.0,12:36,Patriots,Rex Burkhead 14 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,8:39,Broncos,Brandon McManus 39 yard field goal,7,3
,8:24,Patriots,Dion Lewis 103 yard kickoff return (Stephen Gostkowski kick),14,3
,5:18,Broncos,Brandon McManus 33 yard field goal,14,6
2.0,13:38,Patriots,Stephen Gostkowski 25 yard field goal,17,6
,8:47,Patriots,Stephen Gostkowski 28 yard field goal,20,6
,2:36,Broncos,Brandon McManus 36 yard field goal,20,9
,0:25,Patriots,Dwayne Allen 11 yard pass from Tom Brady (Stephen Gostkowski kick),27,9
3.0,7:54,Broncos,Demaryius Thomas 7 yard pass from Brock Osweiler (Brandon McManus kick),27,16
,4:36,Patriots,Dion Lewis 8 yard rush (Stephen Gostkowski kick),34,16
4.0,9:04,Patriots,James White 6 yard pass from Tom Brady (Stephen Gostkowski kick),41,16
