Quarter,Time,Tm,Detail,SEA,SFO
1.0,14:03,49ers,Jordan Mason 3 yard rush (Jake Moody kick),0,7
,9:44,Seahawks,D.K. Metcalf 31 yard pass from Drew Lock (Jason Myers kick),7,7
,0:56,Seahawks,Jason Myers 40 yard field goal,10,7
2.0,8:18,49ers,Deebo Samuel 54 yard pass from Brock Purdy (Jake Moody kick),10,14
3.0,1:58,49ers,Deebo Samuel 1 yard rush (Jake Moody kick),10,21
,0:24,Seahawks,Colby Parkinson 25 yard pass from Drew Lock (pass failed),16,21
4.0,14:08,49ers,George Kittle 44 yard pass from Brock Purdy (Jake Moody kick),16,28
