Unnamed: 0,SEA,SFO
First Downs,17,19
Rush-Yds-TDs,20-70-0,23-173-2
Cmp-Att-Yd-TD-INT,22-31-269-2-2,19-27-368-2-1
Sacked-Yards,4-15,3-14
Net Pass Yards,254,354
Total Yards,324,527
Fumbles-Lost,0-0,1-1
Turnovers,2,2
Penalties-Yards,5-39,5-30
Third Down Conv.,2-11,6-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:45,29:15
