Quarter,Time,Down,ToGo,Location,BAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Carson Wentz sacked by Calais Campbell for -7 yards,0.610,-0.980
1,14:17,2,17,PHI 18,0,0,Carson Wentz pass complete short right to Miles Sanders for -6 yards (tackle by Calais Campbell),-0.980,-2.940
1,13:30,3,23,PHI 12,0,0,Carson Wentz pass incomplete deep right intended for John Hightower,-2.940,-2.490
1,13:24,4,23,PHI 12,0,0,"Cameron Johnston punts 45 yards, returned by James Proche for 10 yards (tackle by Nathan Gerry)",-2.490,-2.460
1,13:15,1,10,PHI 47,0,0,Mark Ingram left tackle for no gain (tackle by Will Parks),2.460,1.910
1,12:35,2,10,PHI 47,0,0,Lamar Jackson sacked by Brandon Graham for no gain,1.910,1.220
1,11:57,3,10,PHI 47,0,0,Lamar Jackson pass complete short left to Miles Boykin for 11 yards (tackle by Nickell Robey-Coleman),1.220,3.180
1,11:23,1,10,PHI 36,0,0,Lamar Jackson right end for 1 yard (tackle by Nathan Gerry),3.180,2.770
1,10:53,2,9,PHI 35,0,0,J.K. Dobbins left end for -2 yards (tackle by Josh Sweat),2.770,1.820
1,10:09,3,11,PHI 37,0,0,Lamar Jackson pass complete short left to Devin Duvernay for 17 yards (tackle by Nickell Robey-Coleman),1.820,4.240
1,9:28,1,10,PHI 20,0,0,Mark Ingram up the middle for 9 yards (tackle by Rodney McLeod),4.240,5.260
1,8:52,2,1,PHI 11,0,0,Mark Ingram right tackle for 4 yards (tackle by Vinny Curry),5.260,5.600
1,8:11,1,7,PHI 7,6,0,"Lamar Jackson pass complete short right to Nick Boyle for 7 yards, touchdown",5.600,7.000
1,8:02,,,PHI 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,8:02,,,BAL 35,7,0,"Justin Tucker kicks off 61 yards, returned by Boston Scott for 22 yards (tackle by Jordan Richards and Malik Harrison)",0.000,0.670
1,7:56,1,10,PHI 26,7,0,"Penalty on Jamon Brown: False Start, 5 yards (no play)",0.670,0.340
1,7:56,1,15,PHI 21,7,0,Miles Sanders left end for no gain (tackle by L.J. Fort),0.340,-0.550
1,7:15,2,15,PHI 21,7,0,Miles Sanders left end for 2 yards (tackle by Justin Madubuike and Jihad Ward),-0.550,-0.960
1,6:29,3,13,PHI 23,7,0,Carson Wentz pass complete short right to Zach Ertz for 9 yards (tackle by Marlon Humphrey),-0.960,-1.240
1,5:52,4,4,PHI 32,7,0,Cameron Johnston punts 43 yards out of bounds,-1.240,-0.610
1,5:44,1,10,BAL 25,7,0,J.K. Dobbins right end for -2 yards (tackle by Brandon Graham),0.610,-0.210
1,5:06,2,12,BAL 23,7,0,Lamar Jackson pass incomplete short middle intended for J.K. Dobbins (defended by Josh Sweat),-0.210,-0.890
1,5:03,3,12,BAL 23,7,0,Lamar Jackson pass incomplete short middle intended for Marquise Brown (defended by Fletcher Cox),-0.890,-1.830
1,4:59,4,12,BAL 23,7,0,"Sam Koch punts 57 yards, returned by Greg Ward for 11 yards (tackle by Kristian Welch)",-1.830,-1.000
1,4:48,1,10,PHI 31,7,0,Miles Sanders up the middle for 4 yards (tackle by Pernell McPhee),1.000,1.000
1,4:20,2,6,PHI 35,7,0,Carson Wentz pass incomplete short right intended for Zach Ertz,1.000,0.300
1,4:16,3,6,PHI 35,7,0,Carson Wentz pass incomplete deep left intended for John Hightower,0.300,-1.040
1,4:11,4,6,PHI 35,7,0,"Cameron Johnston punts 49 yards, returned by James Proche for 3 yards (tackle by K'Von Wallace)",-1.040,-0.150
1,4:03,1,10,BAL 19,7,0,Mark Ingram up the middle for 2 yards (tackle by Derek Barnett),0.150,-0.060
1,3:28,2,8,BAL 21,7,0,Lamar Jackson pass incomplete short left intended for Marquise Brown,-0.060,-0.810
1,3:21,3,8,BAL 21,7,0,"Penalty on Ronnie Stanley: False Start, 5 yards (no play)",-0.810,-1.590
1,3:21,3,13,BAL 16,7,0,Lamar Jackson pass incomplete short right intended for Willie Snead,-1.590,-2.390
1,3:17,4,13,BAL 16,7,0,"Sam Koch punts 59 yards, returned by Greg Ward for 5 yards (tackle by L.J. Fort)",-2.390,-0.940
1,3:05,1,10,PHI 30,7,0,"Carson Wentz left end for 3 yards (tackle by DeShon Elliott and Jaylon Ferguson). Carson Wentz fumbles (forced by DeShon Elliott), recovered by Chuck Clark at PHI-33 and returned for 1 yard (tackle by Jordan Mailata). Chuck Clark fumbles (forced by Jordan Mailata), recovered by Jimmy Smith at PHI-32 and returned for 4 yards (tackle by Zach Ertz)",0.940,-3.710
1,2:54,1,10,PHI 28,7,0,J.K. Dobbins up the middle for 3 yards (tackle by Alex Singleton),3.710,3.570
1,2:14,2,7,PHI 25,7,0,Lamar Jackson pass complete short left to Nick Boyle for 9 yards (tackle by Rodney McLeod),3.570,4.510
1,1:40,1,10,PHI 16,7,0,Lamar Jackson right end for 7 yards (tackle by Rodney McLeod),4.510,5.160
1,1:14,2,3,PHI 9,7,0,Gus Edwards right tackle for 2 yards (tackle by Brandon Graham),5.160,4.850
1,0:36,3,1,PHI 7,13,0,"Gus Edwards up the middle for 7 yards, touchdown",4.850,7.000
1,0:31,,,PHI 15,14,0,Justin Tucker kicks extra point good,0.000,0.000
1,0:31,,,BAL 35,14,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,0:31,1,10,PHI 25,14,0,Miles Sanders left end for 5 yards (tackle by Matt Judon),0.610,0.740
Quarter,Time,Down,ToGo,Location,BAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,PHI 30,14,0,Carson Wentz pass incomplete short right,0.740,0.040
2,14:53,3,5,PHI 30,14,0,Carson Wentz sacked by Pernell McPhee for -7 yards,0.040,-1.830
2,14:20,4,12,PHI 23,14,0,"Cameron Johnston punts 49 yards, returned by James Proche for 10 yards (tackle by Rick Lovato and Corey Clement)",-1.830,-1.470
2,14:08,1,10,BAL 38,14,0,"Lamar Jackson pass complete short middle to Willie Snead for 32 yards (tackle by Jalen Mills). Willie Snead fumbles, ball out of bounds at PHI-30 (forced by Jalen Mills)",1.470,3.580
2,13:35,1,10,PHI 30,14,0,Mark Ingram up the middle for 5 yards (tackle by Alex Singleton),3.580,3.710
2,12:53,2,5,PHI 25,14,0,Gus Edwards up the middle for -2 yards (tackle by Malik Jackson),3.710,2.740
2,12:16,3,7,PHI 27,14,0,Lamar Jackson pass incomplete short right intended for J.K. Dobbins. Penalty on Ronnie Stanley: Illegal Formation (Declined),2.740,1.670
2,12:12,4,7,PHI 27,17,0,Justin Tucker 46 yard field goal good,1.670,3.000
2,12:08,,,BAL 35,17,0,"Justin Tucker kicks off 61 yards, returned by Boston Scott for 21 yards (tackle by Chris Board)",0.000,0.610
2,12:03,1,10,PHI 25,17,0,Miles Sanders right end for 1 yard (tackle by Justin Ellis),0.610,0.200
2,11:18,2,9,PHI 26,17,0,Carson Wentz pass incomplete short middle intended for Zach Ertz (defended by Chris Board). Penalty on Jack Driscoll: Illegal Formation (Declined),0.200,-0.490
2,11:14,3,9,PHI 26,17,0,Carson Wentz sacked by Calais Campbell for -11 yards,-0.490,-2.440
2,10:40,4,20,PHI 15,17,0,"Cameron Johnston punts 66 yards, returned by James Proche for 11 yards (tackle by Richard Rodgers and Rodney McLeod)",-2.440,-0.940
2,10:28,1,10,BAL 30,17,0,Lamar Jackson pass incomplete short left intended for Mark Andrews,0.940,0.390
2,10:23,2,10,BAL 30,17,0,J.K. Dobbins right guard for no gain (tackle by Hassan Ridgeway),0.390,-0.300
2,9:41,3,10,BAL 30,17,0,Lamar Jackson left end for 10 yards (tackle by Cre'von LeBlanc),-0.300,1.600
2,8:55,1,10,BAL 40,17,0,J.K. Dobbins up the middle for 16 yards (tackle by Alex Singleton and Jalen Mills),1.600,2.650
2,8:11,1,10,PHI 44,17,0,"J.K. Dobbins right end for 2 yards (tackle by Alex Singleton and Darius Slay). Penalty on Tyre Phillips: Offensive Holding, 10 yards (no play)",2.650,1.990
2,7:41,1,20,BAL 46,17,0,"Lamar Jackson pass complete short middle to Willie Snead for 9 yards (tackle by Darius Slay). Penalty on Orlando Brown: Illegal Formation, 5 yards (no play)",1.990,1.660
2,7:12,1,25,BAL 41,17,0,"Lamar Jackson pass complete short left to Nick Boyle for 6 yards (tackle by Josh Sweat and Shaun Bradley). Penalty on Ronnie Stanley: Illegal Block Above the Waist, 10 yards (no play)",1.660,1.000
2,6:58,1,35,BAL 31,17,0,Gus Edwards left tackle for 5 yards (tackle by Alex Singleton and Malik Jackson),1.000,-0.590
2,6:20,2,30,BAL 36,17,0,Lamar Jackson pass incomplete short right intended for Mark Andrews (defended by Nathan Gerry) (defended by Genard Avery),-0.590,-1.220
2,6:16,3,30,BAL 36,17,0,Lamar Jackson pass complete short right to Devin Duvernay for 9 yards (tackle by Nathan Gerry),-1.220,-0.390
2,5:40,4,21,BAL 45,17,0,"Sam Koch punts 45 yards, fair catch by Greg Ward at PHI-10",-0.390,0.380
2,5:32,1,10,PHI 10,17,0,Jalen Hurts right tackle for 20 yards (tackle by DeShon Elliott and Chuck Clark),-0.380,0.940
2,4:50,1,10,PHI 30,17,0,Carson Wentz pass complete short right to Zach Ertz for 8 yards (tackle by Marcus Peters),0.940,1.470
2,4:06,2,2,PHI 38,17,0,Jalen Hurts right end for 3 yards (tackle by Justin Madubuike),1.470,1.660
2,3:31,1,10,PHI 41,17,0,Carson Wentz pass complete short left to Jalen Hurts for 3 yards (tackle by Patrick Queen),1.660,1.530
2,2:44,2,7,PHI 44,17,0,"Penalty on Nate Herbig: False Start, 5 yards (no play)",1.530,0.850
2,2:19,2,12,PHI 39,17,0,Carson Wentz pass complete short right to Travis Fulgham for 19 yards (tackle by Marlon Humphrey),0.850,2.790
2,2:00,1,10,BAL 42,17,0,Carson Wentz pass complete short right to Greg Ward for 13 yards (tackle by Marlon Humphrey),2.790,3.640
2,1:54,1,10,BAL 29,17,0,Carson Wentz pass complete short right to Travis Fulgham for 8 yards (tackle by Marcus Peters),3.640,4.180
2,1:16,2,2,BAL 21,17,0,Carson Wentz pass incomplete deep right intended for Miles Sanders,4.180,3.470
2,1:09,3,2,BAL 21,17,0,Miles Sanders right guard for 1 yard (tackle by Matt Judon),3.470,2.270
2,1:03,,,,,,Timeout #1 by Baltimore Ravens,,
2,1:03,4,1,BAL 20,17,0,Carson Wentz up the middle for no gain (tackle by Calais Campbell and Matt Judon),2.270,-0.280
2,0:57,1,10,BAL 20,17,0,J.K. Dobbins left end for 6 yards (tackle by Fletcher Cox),0.280,0.540
2,0:30,2,4,BAL 26,17,0,J.K. Dobbins left guard for 2 yards (tackle by Brandon Graham),0.540,0.100
2,0:27,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:27,3,2,BAL 28,17,0,J.K. Dobbins up the middle for 1 yard (tackle by Rodney McLeod and Alex Singleton),0.100,-1.440
2,0:23,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:23,4,1,BAL 29,17,0,Sam Koch punts 46 yards out of bounds,-1.440,-0.610
2,0:16,1,10,PHI 25,17,0,Carson Wentz pass incomplete short right intended for Travis Fulgham,0.610,0.060
2,0:11,2,10,PHI 25,17,0,Miles Sanders right end for 26 yards (tackle by Chuck Clark),0.060,2.320
2,0:04,1,10,BAL 49,17,0,"Carson Wentz pass deep right is intercepted by Chuck Clark at BAL-2 and returned for 13 yards. Penalty on Calais Campbell: Roughing the Passer, 15 yards (no play)",2.320,3.310
2,0:00,1,10,BAL 34,17,0,Jake Elliott 52 yard field goal no good,3.310,1.660
Quarter,Time,Down,ToGo,Location,BAL,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,17,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BAL 25,17,0,"Lamar Jackson pass incomplete short right intended for Marquise Brown. Penalty on Nick Boyle: Ineligible Downfield Pass, 5 yards (no play)",0.610,0.280
3,14:56,1,15,BAL 20,17,0,Gus Edwards up the middle for -2 yards (tackle by Alex Singleton and Malik Jackson),0.280,-0.980
3,14:14,2,17,BAL 18,17,0,Lamar Jackson up the middle for 24 yards (tackle by Rodney McLeod),-0.980,1.730
3,13:26,1,10,BAL 42,17,0,"Penalty on Bradley Bozeman: False Start, 5 yards (no play)",1.730,1.400
3,13:04,1,15,BAL 37,17,0,Lamar Jackson pass complete short right to Mark Andrews for 11 yards (tackle by Darius Slay),1.400,2.000
3,12:38,2,4,BAL 48,17,0,Gus Edwards left tackle for -1 yards (tackle by Fletcher Cox),2.000,1.160
3,11:57,3,5,BAL 47,17,0,Lamar Jackson pass complete short middle to Devin Duvernay for 5 yards (tackle by Nathan Gerry),1.160,2.390
3,11:23,1,10,PHI 48,17,0,Lamar Jackson pass complete short middle to Marquise Brown for 18 yards (tackle by Will Parks),2.390,3.580
3,10:47,1,10,PHI 30,17,0,J.K. Dobbins left end for 4 yards (tackle by Alex Singleton and Josh Sweat),3.580,3.570
3,10:07,2,6,PHI 26,17,0,Lamar Jackson pass complete short right to J.K. Dobbins for 2 yards (tackle by Nathan Gerry),3.570,3.140
3,9:27,3,4,PHI 24,17,0,"Penalty on Mark Andrews: False Start, 5 yards (no play)",3.140,2.480
3,9:02,3,9,PHI 29,17,0,Lamar Jackson sacked by Malik Jackson for -11 yards,2.480,0.590
