Quarter,Time,Tm,Detail,BAL,PHI
1.0,8:02,Ravens,Nick Boyle 7 yard pass from Lamar Jackson (Justin Tucker kick),7,0
,0:31,Ravens,Gus Edwards 7 yard rush (Justin Tucker kick),14,0
2.0,12:08,Ravens,Justin Tucker 46 yard field goal,17,0
3.0,7:17,Eagles,JJ Arcega-Whiteside fumble recovery in end zone (run failed),17,6
,4:25,Ravens,Lamar Jackson 37 yard rush (Justin Tucker kick),24,6
4.0,13:32,Eagles,Jason Croom 3 yard pass from Carson Wentz (Greg Ward pass from Carson Wentz),24,14
,10:01,Ravens,Justin Tucker 55 yard field goal,27,14
,7:12,Ravens,Justin Tucker 46 yard field goal,30,14
,3:48,Eagles,Travis Fulgham 18 yard pass from Carson Wentz (JJ Arcega-Whiteside pass from Carson Wentz),30,22
,1:55,Eagles,Carson Wentz 1 yard rush (run failed),30,28
