Unnamed: 0,BAL,PHI
First Downs,17,19
Rush-Yds-TDs,37-182-2,18-194-1
Cmp-Att-Yd-TD-INT,16-27-186-1-0,21-40-213-2-0
Sacked-Yards,3-13,6-43
Net Pass Yards,173,170
Total Yards,355,364
Fumbles-Lost,2-0,4-1
Turnovers,0,1
Penalties-Yards,12-132,3-20
Third Down Conv.,6-16,3-12
Fourth Down Conv.,0-0,1-3
Time of Possession,36:30,23:30
