Unnamed: 0,SDG,OAK
First Downs,18,15
Rush-Yds-TDs,30-141-2,23-72-0
Cmp-Att-Yd-TD-INT,14-25-180-1-2,22-37-277-1-1
Sacked-Yards,4-26,6-26
Net Pass Yards,154,251
Total Yards,295,323
Fumbles-Lost,2-0,1-1
Turnovers,2,2
Penalties-Yards,3-15,8-64
Third Down Conv.,5-14,3-15
Fourth Down Conv.,0-0,0-1
Time of Possession,29:42,30:18
