Quarter,Time,Tm,Detail,SDG,OAK
1.0,10:57,Raiders,Sebastian Janikowski 22 yard field goal,0,3
,7:17,Raiders,"Safety, Philip Rivers tackled in the end zone by Gibril Wilson.",0,5
2.0,11:22,Raiders,Zach Miller 63 yard pass from JaMarcus Russell (Sebastian Janikowski kick),0,12
,5:26,Raiders,Sebastian Janikowski 28 yard field goal,0,15
3.0,7:34,Chargers,Nate Kaeding 28 yard field goal,3,15
4.0,14:12,Chargers,Antonio Gates 9 yard pass from Philip Rivers (Nate Kaeding kick),10,15
,12:47,Chargers,LaDainian Tomlinson 13 yard rush (Darren Sproles pass from Philip Rivers),18,15
,2:47,Raiders,Sebastian Janikowski 32 yard field goal,18,18
,1:51,Chargers,Nate Kaeding 47 yard field goal,21,18
,1:04,Chargers,LaDainian Tomlinson 41 yard rush (Nate Kaeding kick),28,18
