Quarter,Time,Tm,Detail,WAS,SEA
1.0,3:45,Seahawks,Leonard Weaver 17 yard rush (Josh Brown kick),0,7
2.0,8:58,Seahawks,Josh Brown 50 yard field goal,0,10
3.0,4:30,Seahawks,Josh Brown 33 yard field goal,0,13
4.0,14:53,Redskins,Antwaan Randle El 7 yard pass from Todd Collins (Shaun Suisham kick),7,13
,12:38,Redskins,Santana Moss 30 yard pass from Todd Collins (Shaun Suisham kick),14,13
,6:06,Seahawks,D.J. Hackett 20 yard pass from Matt Hasselbeck (Marcus Pollard pass from Matt Hasselbeck),14,21
,5:38,Seahawks,Marcus Trufant 78 yard interception return (Josh Brown kick),14,28
,0:27,Seahawks,Jordan Babineaux 57 yard interception return (Josh Brown kick),14,35
