Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Josh Brown kicks off 65 yards, returned by Rock Cartwright for 26 yards (tackle by Kevin Bentley)",0.000,1.000
1,14:54,1,10,WAS 31,0,0,Clinton Portis left guard for 3 yards (tackle by Lofa Tatupu),1.000,0.870
1,14:26,2,7,WAS 34,0,0,Clinton Portis right tackle for 1 yard (tackle by Rocky Bernard),0.870,0.300
1,13:46,3,6,WAS 35,0,0,Todd Collins pass incomplete short right intended for Santana Moss,0.300,-1.040
1,13:42,4,6,WAS 35,0,0,"Derrick Frost punts 49 yards, returned by Nate Burleson for 7 yards (tackle by Rock Cartwright)",-1.040,-0.480
1,13:31,1,10,SEA 23,0,0,Matt Hasselbeck pass complete short left to Nate Burleson for 12 yards (tackle by LaRon Landry),0.480,1.270
1,12:59,1,10,SEA 35,0,0,Matt Hasselbeck pass complete short middle to Bobby Engram for 18 yards (tackle by Reed Doughty),1.270,2.460
1,12:11,,,,0,0,Timeout #1 by Seattle Seahawks,0.000,2.460
1,12:11,1,10,WAS 47,0,0,Shaun Alexander left tackle for 6 yards (tackle by Randall Godfrey),2.460,2.720
1,11:43,2,4,WAS 41,0,0,Matt Hasselbeck pass incomplete,2.720,2.010
1,11:34,3,4,WAS 41,0,0,Matt Hasselbeck pass incomplete deep right intended for Ben Obomanu,2.010,0.530
1,11:30,4,4,WAS 41,0,0,Ryan Plackemeier punts 37 yards,0.530,0.380
1,11:20,1,10,WAS 4,0,0,Clinton Portis left end for 1 yard (tackle by Brandon Mebane),-0.380,-0.710
1,10:36,2,9,WAS 5,0,0,Todd Collins pass complete short left to Santana Moss for 6 yards (tackle by Marcus Trufant),-0.710,-0.600
1,9:56,3,3,WAS 11,0,0,Todd Collins pass complete short middle to Antwaan Randle El for 9 yards (tackle by Jordan Babineaux),-0.600,0.280
1,9:14,1,10,WAS 20,0,0,Antwaan Randle El right end for 2 yards (tackle by Patrick Kerney),0.280,0.000
1,8:39,2,8,WAS 22,0,0,Todd Collins pass complete short left to Santana Moss for 7 yards (tackle by Brian Russell),0.000,0.230
1,7:58,3,1,WAS 29,0,0,Clinton Portis left tackle for no gain (tackle by Darryl Tapp),0.230,-1.440
1,7:27,4,1,WAS 29,0,0,"Derrick Frost punts 47 yards. Penalty on Leigh Torrence: Illegal Touch Kick, 5 yards (no play)",-1.440,-1.770
1,7:17,4,6,WAS 24,0,0,"Derrick Frost punts 41 yards, returned by Nate Burleson for 20 yards (tackle by Vernon Fox)",-1.770,-2.590
1,7:06,1,10,WAS 45,0,0,Matt Hasselbeck pass complete short left to D.J. Hackett for 8 yards (tackle by Fred Smoot),2.590,3.120
1,6:21,2,2,WAS 37,0,0,Matt Hasselbeck pass complete short left to Nate Burleson for 1 yard (tackle by Fred Smoot),3.120,2.540
1,5:45,3,1,WAS 36,0,0,Maurice Morris right end for 6 yards (tackle by Kedric Golston),2.540,3.580
1,5:09,1,10,WAS 30,0,0,Matt Hasselbeck pass complete short right to Leonard Weaver for no gain,3.580,3.030
1,4:27,2,10,WAS 30,0,0,Shaun Alexander left end for 13 yards (tackle by Marcus Washington),3.030,4.440
,,,,,,,"SEA challenged the fumble ruling, and the original play was overturned.",,
