Unnamed: 0,CLE,PIT
First Downs,27,21
Rush-Yds-TDs,33-231-1,28-69-1
Cmp-Att-Yd-TD-INT,29-40-232-2-1,24-37-277-3-1
Sacked-Yards,4-26,4-34
Net Pass Yards,206,243
Total Yards,437,312
Fumbles-Lost,4-3,1-0
Turnovers,4,1
Penalties-Yards,5-37,9-43
Third Down Conv.,8-15,3-14
Fourth Down Conv.,0-0,2-2
Time of Possession,38:54,33:09
