Quarter,Time,Tm,Detail,MIA,ATL
1.0,9:41,Falcons,Matt Bryant 50 yard field goal,0,3
,1:51,Falcons,Marvin Hall 40 yard pass from Matt Ryan (Matt Bryant kick),0,10
2.0,5:29,Falcons,Tevin Coleman 6 yard rush (Matt Bryant kick),0,17
3.0,6:17,Dolphins,Kenny Stills 11 yard pass from Jay Cutler (Cody Parkey kick),7,17
,1:32,Dolphins,Jarvis Landry 7 yard pass from Jay Cutler (Cody Parkey kick),14,17
4.0,8:34,Dolphins,Cody Parkey 49 yard field goal,17,17
,2:30,Dolphins,Cody Parkey 38 yard field goal,20,17
