Unnamed: 0,MIA,ATL
First Downs,20,19
Rush-Yds-TDs,31-138-0,19-100-1
Cmp-Att-Yd-TD-INT,19-33-151-2-1,24-35-248-1-1
Sacked-Yards,0-0,2-9
Net Pass Yards,151,239
Total Yards,289,339
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,4-42,6-73
Third Down Conv.,5-12,6-11
Fourth Down Conv.,2-3,0-1
Time of Possession,34:24,25:36
