Quarter,Time,Down,ToGo,Location,MIA,ATL,Detail,EPB,EPA
1,8:16,2,6,MIA 29,0,3,Jay Ajayi right end for 18 yards (tackle by Ricardo Allen),0.600,2.060
1,7:37,1,10,MIA 47,0,3,Jay Cutler pass incomplete short right intended for Jay Ajayi,2.060,1.520
1,7:34,2,10,MIA 47,0,3,Jay Cutler pass incomplete short middle intended for Jarvis Landry (defended by Robert Alford),1.520,0.830
1,7:30,3,10,MIA 47,0,3,Jay Cutler pass complete short right to Julius Thomas for 5 yards (tackle by Keanu Neal),0.830,0.070
1,6:48,4,5,ATL 48,0,3,"Matt Haack punts 38 yards, fair catch by Andre Roberts",0.070,0.380
1,6:40,1,10,ATL 10,0,3,Devonta Freeman left tackle for 10 yards (tackle by Reshad Jones),-0.380,0.280
1,6:01,1,10,ATL 20,0,3,Matt Ryan pass complete short middle to Taylor Gabriel for 13 yards (tackle by Cordrea Tankersley),0.280,1.140
1,5:23,1,10,ATL 33,0,3,Devonta Freeman right tackle for -3 yards (tackle by Lawrence Timmons),1.140,0.190
1,4:45,2,13,ATL 30,0,3,Matt Ryan pass complete short right to Julio Jones for 8 yards (tackle by Xavien Howard),0.190,0.560
1,4:10,3,5,ATL 38,0,3,Matt Ryan pass complete short right to Julio Jones for 11 yards (tackle by Lawrence Timmons and Xavien Howard),0.560,2.190
1,3:26,1,10,ATL 49,0,3,Tevin Coleman left end for 4 yards (tackle by William Hayes),2.190,2.190
1,2:45,2,6,MIA 47,0,3,Matt Ryan pass incomplete deep left intended for Austin Hooper,2.190,1.490
1,2:40,3,6,MIA 47,0,3,Matt Ryan pass complete short right to Taylor Gabriel for 7 yards (tackle by Kiko Alonso and Bobby McCain),1.490,2.920
1,2:00,1,10,MIA 40,0,9,"Matt Ryan pass complete deep middle to Marvin Hall for 40 yards, touchdown",2.920,7.000
1,1:51,,,MIA 15,0,10,Matt Bryant kicks extra point good,0.000,0.000
1,1:51,,,ATL 35,0,10,"Matthew Bosher kicks off 65 yards, returned by Kenyan Drake for 23 yards (tackle by Derrick Coleman)",0.000,-0.480
1,1:43,1,10,MIA 23,0,10,Jay Ajayi for 15 yards (tackle by Deion Jones),0.480,1.470
1,1:11,1,10,MIA 38,0,10,Jay Ajayi right end for 5 yards (tackle by Keanu Neal),1.470,1.600
1,0:25,2,5,MIA 43,0,10,Jay Ajayi left guard for 9 yards (tackle by Keanu Neal and Duke Riley),1.600,2.390
Quarter,Time,Down,ToGo,Location,MIA,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 48,0,10,Jay Ajayi right guard for 6 yards (tackle by De'Vondre Campbell and Deion Jones),2.390,2.660
2,14:13,2,4,ATL 42,0,10,Damien Williams left tackle for no gain (tackle by Brooks Reed and Duke Riley),2.660,1.950
2,13:32,3,4,ATL 42,0,10,Jay Cutler pass incomplete short left intended for Jarvis Landry,1.950,0.460
2,13:28,4,4,ATL 42,0,10,"Matt Haack punts 42 yards, touchback",0.460,-0.280
2,13:19,1,10,ATL 20,0,10,"Penalty on Andy Levitre: False Start, 5 yards (no play)",0.280,-0.310
2,13:19,1,15,ATL 15,0,10,Matt Ryan pass complete short middle to Tevin Coleman for 4 yards (tackle by Rey Maualuga),-0.310,-0.460
2,12:38,2,11,ATL 19,0,10,Matt Ryan pass incomplete short middle intended for Julio Jones,-0.460,-1.140
2,12:34,3,11,ATL 19,0,10,Matt Ryan pass complete short left to Devonta Freeman for no gain,-1.140,-2.140
2,11:56,4,11,ATL 19,0,10,"Matthew Bosher punts 37 yards, out of bounds",-2.140,-1.860
2,11:48,1,10,MIA 44,0,10,Jay Ajayi right tackle for -1 yards (tackle by Desmond Trufant and Adrian Clayborn),1.860,1.180
2,11:07,2,11,MIA 43,0,10,Jay Cutler pass complete short left to Kenny Stills for 11 yards,1.180,2.520
2,10:32,1,10,ATL 46,0,10,"Jay Cutler pass complete short right to Jarvis Landry for 7 yards (tackle by Desmond Trufant and Robert Alford). Penalty on Ja'Wuan James: Unnecessary Roughness, 15 yards",2.520,0.900
2,10:05,2,18,MIA 46,0,10,Damien Williams left end for 5 yards (tackle by Deion Jones and Brian Poole),0.900,0.890
2,8:51,3,13,ATL 49,0,10,Jay Cutler pass complete short middle to Jarvis Landry for 10 yards (tackle by Robert Alford),0.890,0.000
2,7:57,,,,,,Timeout #1 by Atlanta Falcons,0.000,-0.660
2,7:57,4,3,ATL 39,0,10,Jay Cutler pass incomplete short right intended for Jarvis Landry (defended by Dontari Poe),0.660,-1.530
2,7:52,1,10,ATL 39,0,10,Devonta Freeman left end for 44 yards (tackle by Reshad Jones),1.530,4.440
2,7:03,1,10,MIA 17,0,10,Matt Ryan pass incomplete short right intended for Marvin Hall (defended by Lawrence Timmons),4.440,3.850
2,6:58,2,10,MIA 17,0,10,Devonta Freeman left end for 9 yards (tackle by Kiko Alonso),3.850,4.800
2,6:16,3,1,MIA 8,0,10,Tevin Coleman left guard for 2 yards (tackle by Davon Godchaux and Reshad Jones),4.800,5.830
2,5:35,1,6,MIA 6,0,16,"Tevin Coleman left guard for 6 yards, touchdown",5.830,7.000
2,5:29,,,MIA 15,0,17,Matt Bryant kicks extra point good,0.000,0.000
2,5:29,,,ATL 35,0,17,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,5:29,1,10,MIA 25,0,17,Jay Ajayi left guard for 4 yards (tackle by Deion Jones),0.610,0.600
2,4:46,2,6,MIA 29,0,17,Jay Ajayi left guard for 7 yards (tackle by De'Vondre Campbell),0.600,1.330
2,4:04,1,10,MIA 36,0,17,Jay Cutler pass complete short middle to Jarvis Landry for 5 yards (tackle by Deion Jones and Derrick Shelby),1.330,1.470
2,3:19,2,5,MIA 41,0,17,"Jay Cutler pass incomplete deep right intended for Kenny Stills. Penalty on Kenny Stills: Offensive Pass Interference (Offsetting), Penalty on De'Vondre Campbell: Roughing the Passer (Offsetting) (no play)",1.470,1.470
2,3:13,2,5,MIA 41,0,17,"Jay Cutler pass complete short right to Jarvis Landry for 3 yards (tackle by Deion Jones). Penalty on Takkarist McKinley: Unnecessary Roughness, 15 yards",1.470,2.850
2,2:38,1,10,ATL 41,0,17,Jay Ajayi right guard for 4 yards (tackle by Deion Jones),2.850,2.850
2,2:00,2,6,ATL 37,0,17,Jay Ajayi right guard for no gain (tackle by Grady Jarrett),2.850,0.000
2,1:55,,,,,,Timeout #2 by Atlanta Falcons,0.000,-2.150
2,1:54,3,6,ATL 37,0,17,Jay Cutler pass complete short left to Jarvis Landry for 11 yards (tackle by Brian Poole),2.150,3.840
2,1:16,1,10,ATL 26,0,17,Jay Cutler pass incomplete short right intended for Jay Ajayi,3.840,3.300
2,1:13,2,10,ATL 26,0,17,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",3.300,2.620
2,1:13,2,15,ATL 31,0,17,Jay Cutler pass incomplete deep left intended for Leonte Carroo is intercepted by Deion Jones at ATL-11 and returned for 1 yard,2.620,0.350
2,1:04,1,10,ATL 12,0,17,Devonta Freeman left tackle for 9 yards (tackle by Nate Allen),-0.350,0.420
2,0:41,2,1,ATL 21,0,17,Matt Ryan pass complete short middle to Austin Hooper for 10 yards (tackle by Bobby McCain),0.420,1.000
2,0:28,1,10,ATL 31,0,17,Matt Ryan pass complete short middle to Devonta Freeman for 11 yards (tackle by Bobby McCain),1.000,0.000
2,0:20,,,,,,Timeout #3 by Atlanta Falcons,0.000,-1.730
2,0:20,1,10,ATL 42,0,17,Matt Ryan pass complete short middle to Julio Jones for 16 yards (tackle by Reshad Jones),1.730,2.790
2,0:08,1,10,MIA 42,0,17,Matt Ryan spiked the ball,2.790,2.240
2,0:06,2,10,MIA 42,0,17,Matt Ryan pass complete short left to Julio Jones for 1 yard (tackle by Michael Thomas),2.240,1.680
2,0:02,3,9,MIA 41,0,17,Matt Bryant 59 yard field goal no good,1.680,2.130
Quarter,Time,Down,ToGo,Location,MIA,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,0,17,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,MIA 25,0,17,Jay Ajayi left guard for 3 yards (tackle by Brooks Reed),0.610,0.470
3,14:26,2,7,MIA 28,0,17,Jay Cutler pass complete short left to Julius Thomas for 5 yards (tackle by Deion Jones),0.470,0.430
3,13:42,3,2,MIA 33,0,17,Jay Cutler pass complete short right to Kenny Stills for 18 yards (tackle by Desmond Trufant),0.430,2.320
3,12:54,1,10,ATL 49,0,17,Jay Cutler pass complete short left to Kenny Stills for 9 yards (tackle by Deion Jones),2.320,3.000
3,12:14,2,1,ATL 40,0,17,Jay Ajayi left guard for 1 yard (tackle by Keanu Neal),3.000,2.980
3,11:31,1,10,ATL 39,0,17,Jay Cutler pass incomplete deep left intended for Julius Thomas,2.980,2.440
3,11:24,2,10,ATL 39,0,17,Jay Ajayi right guard for 6 yards (tackle by Joe Vellano and Duke Riley),2.440,2.540
3,10:39,3,4,ATL 33,0,17,Jay Cutler pass complete short left to Damien Williams for 7 yards (tackle by Ricardo Allen),2.540,3.840
3,10:06,1,10,ATL 26,0,17,Jay Ajayi right tackle for 3 yards (tackle by Deion Jones and Grady Jarrett),3.840,3.700
3,9:27,2,7,ATL 23,0,17,Damien Williams left guard for 2 yards (tackle by Grady Jarrett and Vic Beasley),3.700,3.270
3,8:38,3,5,ATL 21,0,17,Jay Cutler pass complete short left to Damien Williams for 4 yards (tackle by Keanu Neal),3.270,2.460
3,7:53,4,1,ATL 17,0,17,Jay Cutler pass complete short right to Damien Williams for 3 yards (tackle by Ricardo Allen),2.460,4.650
3,7:21,1,10,ATL 14,0,17,Jay Ajayi left end for -2 yards (tackle by Deion Jones and Robert Alford),4.650,3.720
3,6:30,2,12,ATL 16,0,17,Jay Cutler pass incomplete short right intended for Leonte Carroo (defended by Brian Poole),3.720,3.000
3,6:25,3,12,ATL 16,0,17,"Penalty on Adrian Clayborn: Neutral Zone Infraction, 5 yards (no play)",3.000,3.620
3,6:25,3,7,ATL 11,6,17,"Jay Cutler pass complete short left to Kenny Stills for 11 yards, touchdown",3.620,7.000
3,6:17,,,ATL 15,7,17,Cody Parkey kicks extra point good,0.000,0.000
3,6:17,,,MIA 35,7,17,"Cody Parkey kicks off 66 yards, returned by Andre Roberts for 18 yards (tackle by Chase Allen)",0.000,0.060
3,6:11,1,10,ATL 17,7,17,Matt Ryan sacked by Ndamukong Suh for -5 yards,-0.060,-1.150
3,5:29,2,15,ATL 12,7,17,Devonta Freeman right guard for 2 yards (tackle by Jordan Phillips),-1.150,-1.720
3,4:50,3,13,ATL 14,7,17,Matt Ryan pass complete short middle to Austin Hooper for 11 yards (tackle by Nate Allen),-1.720,-1.700
3,4:14,4,2,ATL 25,7,17,Matthew Bosher punts 26 yards,-1.700,-2.190
3,4:02,1,10,MIA 49,7,17,Jay Cutler pass incomplete short middle intended for Jarvis Landry (defended by Dontari Poe),2.190,1.650
3,3:59,2,10,MIA 49,7,17,Jay Ajayi right guard for 1 yard (tackle by De'Vondre Campbell),1.650,1.090
3,3:14,3,9,,7,17,"Jay Cutler pass incomplete deep left intended for Jakeem Grant (defended by Ricardo Allen). Penalty on Robert Alford: Defensive Pass Interference, 26 yards (no play)",1.090,3.970
3,3:06,1,10,ATL 24,7,17,Jay Ajayi right guard for 1 yard (tackle by Duke Riley),3.970,3.570
3,2:31,2,9,ATL 23,7,17,"Jay Cutler pass incomplete short middle intended for Jarvis Landry is intercepted by Deion Jones at ATL-24 and returned for -1 yards. Penalty on Grady Jarrett: Roughing the Passer, 12 yards, Penalty on Ricardo Allen: Illegal Block Above the Waist (Declined) (no play)",3.570,4.840
3,2:15,1,10,ATL 11,7,17,Jay Ajayi left guard for 4 yards (tackle by Duke Riley and Brooks Reed),4.840,4.890
3,1:38,2,6,ATL 7,13,17,"Jay Cutler pass complete short left to Jarvis Landry for 7 yards, touchdown",4.890,7.000
3,1:32,,,ATL 15,14,17,Cody Parkey kicks extra point good,0.000,0.000
3,1:32,,,MIA 35,14,17,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
3,1:32,1,10,ATL 25,14,17,Matt Ryan pass complete short right to Austin Hooper for 2 yards (tackle by Ndamukong Suh),0.610,0.330
3,0:50,2,8,ATL 27,14,17,Tevin Coleman left end for 20 yards (tackle by Cameron Wake),0.330,2.060
3,0:06,1,10,ATL 47,14,17,Tevin Coleman left end for 2 yards (tackle by Lawrence Timmons),2.060,1.790
Quarter,Time,Down,ToGo,Location,MIA,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,ATL 49,14,17,Matt Ryan pass complete short right to Julio Jones for 18 yards (tackle by Lawrence Timmons),1.790,3.380
4,14:27,1,10,MIA 33,14,17,"Matt Ryan sacked by Kiko Alonso for 0 yards. Penalty on Jake Matthews: Offensive Holding, 10 yards (no play)",3.380,2.720
4,13:58,1,20,MIA 43,14,17,Devonta Freeman left tackle for no gain (tackle by Andre Branch),2.720,1.490
4,13:15,2,20,MIA 43,14,17,Matt Ryan sacked by Cameron Wake for -4 yards,1.490,0.300
4,12:28,3,24,MIA 47,14,17,Matt Ryan pass complete short left to Austin Hooper for 5 yards (tackle by Lawrence Timmons and Reshad Jones),0.300,0.460
4,11:51,4,19,MIA 42,14,17,Matthew Bosher for no gain. Josh Harris fumbles,0.460,-2.130
4,11:42,1,10,MIA 48,14,17,Jay Ajayi left end for 4 yards (tackle by Brooks Reed and Duke Riley),2.130,2.120
4,10:58,2,6,ATL 48,14,17,Jay Cutler pass incomplete short left intended for Jay Ajayi,2.120,1.420
4,10:53,3,6,ATL 48,14,17,Jay Cutler pass complete short right to Jakeem Grant for 4 yards (tackle by Ricardo Allen),1.420,0.330
4,10:09,4,2,ATL 44,14,17,Jay Cutler pass complete short middle to Jarvis Landry for 9 yards (tackle by Ricardo Allen),0.330,3.250
4,9:25,1,10,ATL 35,14,17,Jay Cutler pass incomplete deep right intended for Jarvis Landry,3.250,2.700
4,9:24,2,10,ATL 35,14,17,Jay Ajayi right tackle for 4 yards (tackle by Dontari Poe),2.700,2.540
4,8:42,3,6,ATL 31,14,17,Jay Cutler pass incomplete short left intended for Leonte Carroo (defended by De'Vondre Campbell),2.540,1.340
4,8:39,4,6,ATL 31,17,17,Cody Parkey 49 yard field goal good,1.340,3.000
4,8:34,,,MIA 35,17,17,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
4,8:34,1,10,ATL 25,17,17,Tevin Coleman left guard for 2 yards (tackle by William Hayes),0.610,0.330
4,8:00,2,8,ATL 27,17,17,Tevin Coleman right end for -8 yards (tackle by William Hayes),0.330,-1.510
4,7:18,3,16,ATL 19,17,17,Matt Ryan pass incomplete deep left intended for Taylor Gabriel,-1.510,-2.140
4,7:11,4,16,ATL 19,17,17,"Matthew Bosher punts 55 yards, returned by Jakeem Grant for 8 yards (tackle by Kemal Ishmael)",-2.140,-1.200
4,7:00,1,10,MIA 34,17,17,Jay Cutler pass incomplete short left intended for Jarvis Landry,1.200,0.660
4,6:57,2,10,MIA 34,17,17,Jay Ajayi left tackle for 18 yards (tackle by Ricardo Allen),0.660,2.390
4,6:16,1,10,ATL 48,17,17,Jay Ajayi right tackle for 18 yards (tackle by Ricardo Allen),2.390,3.580
4,5:31,1,10,ATL 30,17,17,Damien Williams right guard for 2 yards (tackle by Keanu Neal),3.580,3.300
4,5:08,2,8,ATL 28,17,17,Jay Ajayi left end for -1 yards (tackle by Takkarist McKinley),3.300,2.480
4,4:16,3,9,ATL 29,17,17,Jay Cutler pass complete short middle to Jarvis Landry for 10 yards (tackle by Keanu Neal),2.480,4.310
4,3:28,1,10,ATL 19,17,17,Jay Ajayi left tackle for no gain (tackle by Derrick Shelby and Grady Jarrett),4.310,3.750
4,2:45,2,10,ATL 19,17,17,Jay Ajayi left guard for -1 yards (tackle by Derrick Shelby),3.750,0.000
4,2:40,,,,,,Timeout #1 by Atlanta Falcons,0.000,-2.940
4,2:40,3,11,ATL 20,17,17,Jay Cutler pass incomplete short right intended for Julius Thomas (defended by De'Vondre Campbell),2.940,2.120
4,2:35,4,11,ATL 20,20,17,Cody Parkey 38 yard field goal good,2.120,3.000
4,2:30,,,MIA 35,20,17,"Cody Parkey kicks off 68 yards, returned by Andre Roberts for 16 yards (tackle by Senorise Perry)",0.000,0.320
4,2:26,1,10,ATL 13,20,17,Matt Ryan pass complete short left to Taylor Gabriel for 9 yards (tackle by Kiko Alonso),-0.320,0.490
4,2:01,2,1,ATL 22,20,17,Matt Ryan pass complete deep left to Julio Jones for 18 yards (tackle by Reshad Jones),0.490,1.600
4,1:59,1,10,ATL 40,20,17,Matt Ryan pass incomplete short left intended for Devonta Freeman,1.600,1.050
4,1:54,2,10,ATL 40,20,17,Matt Ryan pass incomplete short right intended for Taylor Gabriel,1.050,0.370
4,1:50,3,10,ATL 40,20,17,Matt Ryan pass complete short middle to Justin Hardy for 22 yards (tackle by Reshad Jones),0.370,3.050
4,1:25,1,10,MIA 38,20,17,Matt Ryan pass complete short right to Justin Hardy for 7 yards (tackle by Bobby McCain),3.050,3.450
4,1:06,2,3,MIA 31,20,17,Matt Ryan pass incomplete deep right intended for Taylor Gabriel,3.450,2.740
4,1:01,3,3,MIA 31,20,17,Matt Ryan pass complete short right to Austin Hooper for 5 yards (tackle by Xavien Howard),2.740,0.000
4,0:47,,,,,,Timeout #1 by Miami Dolphins,0.000,-3.840
4,0:47,1,10,MIA 26,20,17,"Matt Ryan pass incomplete deep middle intended for Austin Hooper is intercepted by Reshad Jones at MIA-6 and returned for 15 yards. Penalty on Reshad Jones: Unsportsmanlike Conduct, 10 yards",3.840,0.370
4,0:39,1,10,MIA 11,20,17,Jay Cutler kneels for -1 yards,-0.370,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
