Unnamed: 0,NOR,CAR
First Downs,19,12
Rush-Yds-TDs,22-84-1,31-145-0
Cmp-Att-Yd-TD-INT,25-41-353-1-2,12-25-170-1-0
Sacked-Yards,1-11,3-22
Net Pass Yards,342,148
Total Yards,426,293
Fumbles-Lost,3-1,0-0
Turnovers,3,0
Penalties-Yards,7-58,4-40
Third Down Conv.,5-13,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,29:50,30:10
