Quarter,Time,Tm,Detail,JAX,ATL
1.0,10:51,Falcons,Julio Jones 29 yard pass from Matt Ryan (Matt Bryant kick),0,7
,3:18,Falcons,Matt Bryant 33 yard field goal,0,10
2.0,13:03,Falcons,Michael Turner 5 yard rush (Matt Bryant kick),0,17
,1:49,Falcons,Roddy White 6 yard pass from Matt Ryan (Matt Bryant kick),0,24
,0:00,Falcons,Matt Bryant 31 yard field goal,0,27
3.0,13:33,Falcons,Corey Peters 13 yard defensive fumble return (Matt Bryant kick),0,34
,6:38,Falcons,Roddy White 29 yard pass from Matt Ryan (Matt Bryant kick),0,41
,2:12,Jaguars,Zach Potter 46 yard blocked punt return (Josh Scobee kick),7,41
4.0,0:59,Jaguars,Chastin West 16 yard pass from Blaine Gabbert (Josh Scobee kick),14,41
