Unnamed: 0,JAX,ATL
First Downs,12,20
Rush-Yds-TDs,19-116-0,35-97-1
Cmp-Att-Yd-TD-INT,12-22-141-1-1,24-32-280-3-0
Sacked-Yards,5-50,1-4
Net Pass Yards,91,276
Total Yards,207,373
Fumbles-Lost,3-3,0-0
Turnovers,4,0
Penalties-Yards,5-40,4-31
Third Down Conv.,3-10,6-15
Fourth Down Conv.,0-0,0-1
Time of Possession,21:29,38:31
