Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Scobee kicks off 69 yards, returned by Eric Weems for 29 yards (tackle by Darcel McBath)",0.000,0.610
1,14:55,1,10,ATL 25,0,0,Michael Turner left guard for 15 yards (tackle by Russell Allen),0.610,1.600
1,14:18,1,10,ATL 40,0,0,Michael Turner left guard for 4 yards (tackle by D'Anthony Smith and Russell Allen),1.600,1.590
1,13:29,2,6,ATL 44,0,0,Matt Ryan pass complete short right to Roddy White for 7 yards (tackle by Ashton Youboty),1.590,2.320
1,12:58,1,10,JAX 49,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 14 yards (tackle by Dawan Landry),2.320,3.250
1,12:17,1,10,JAX 35,0,0,Michael Turner right end for -1 yards (tackle by Ashton Youboty),3.250,2.570
1,11:38,2,11,JAX 36,0,0,Matt Ryan pass complete short left to Jason Snelling for 7 yards (tackle by Drew Coleman),2.570,2.810
1,10:58,3,4,JAX 29,0,6,"Matt Ryan pass complete short middle to Julio Jones for 29 yards, touchdown",2.810,7.000
1,,,,JAX 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,ATL 35,0,7,"Matt Bosher kicks off 67 yards, returned by DuJuan Harris for 22 yards (tackle by Kroy Biermann)",0.000,0.280
1,10:46,1,10,JAX 20,0,7,Blaine Gabbert sacked by John Abraham for -10 yards,0.280,-1.510
1,10:18,2,20,JAX 10,0,7,Maurice Jones-Drew left tackle for 9 yards (tackle by William Moore),-1.510,-1.140
1,9:38,3,11,JAX 19,0,7,"Blaine Gabbert sacked by Corey Peters for -12 yards. Penalty on Ray Edwards: Defensive Offside, 5 yards (no play)",-1.140,-0.430
1,9:09,3,6,JAX 24,0,7,Blaine Gabbert pass incomplete deep left intended for Marcedes Lewis,-0.430,-1.770
1,9:04,4,6,JAX 24,0,7,"Nick Harris punts 41 yards, returned by Eric Weems for 7 yards (tackle by Russell Allen)",-1.770,-1.730
1,8:51,1,10,ATL 42,0,7,Michael Turner right end for -2 yards (tackle by D'Anthony Smith and Dawan Landry),1.730,0.920
1,8:06,2,12,ATL 40,0,7,Michael Turner up the middle for 6 yards (tackle by Jeremy Mincey),0.920,1.030
1,7:27,3,6,ATL 46,0,7,Matt Ryan pass complete short right to Roddy White for 11 yards (tackle by Ashton Youboty),1.030,2.720
1,6:46,1,10,JAX 43,0,7,Jason Snelling left guard for 6 yards (tackle by Jeremy Mincey),2.720,2.990
1,6:18,2,4,JAX 37,0,7,Matt Ryan pass complete deep right to Roddy White for 18 yards (tackle by Akwasi Owusu-Ansah),2.990,4.310
1,5:40,1,10,JAX 19,0,7,"Matt Ryan pass complete short right to Roddy White for 2 yards (tackle by D'Anthony Smith). Penalty on Terrance Knighton: Defensive Offside, 5 yards (no play)",4.310,5.300
1,5:20,1,5,JAX 14,0,7,Michael Turner right end for 1 yard (tackle by Ashton Youboty),5.300,4.720
1,4:37,2,4,JAX 13,0,7,Matt Ryan pass incomplete short right intended for Roddy White,4.720,3.960
1,4:34,3,4,JAX 13,0,7,Matt Ryan pass complete short left to Roddy White for 3 yards (tackle by Paul Posluszny and Drew Coleman),3.960,2.910
1,3:31,4,1,JAX 10,0,7,"Penalty on Matt Ryan: Delay of Game, 5 yards (no play)",2.910,2.470
1,3:22,4,6,JAX 15,0,10,Matt Bryant 33 yard field goal good,2.470,3.000
1,,,,ATL 35,0,10,"Matt Bosher kicks off 70 yards, returned by DuJuan Harris for 23 yards (tackle by Jason Snelling)",0.000,0.040
1,3:14,1,10,JAX 18,0,10,Maurice Jones-Drew left tackle for 4 yards (tackle by William Moore),0.040,0.140
1,2:39,2,6,JAX 22,0,10,Maurice Jones-Drew right end for 6 yards (tackle by Dominique Franks),0.140,0.810
1,1:58,1,10,JAX 28,0,10,Maurice Jones-Drew left guard for 3 yards (tackle by Curtis Lofton),0.810,0.670
1,1:23,2,7,JAX 31,0,10,"Penalty on Eugene Monroe: False Start, 5 yards (no play)",0.670,-0.010
1,1:09,2,12,JAX 26,0,10,Blaine Gabbert right end for 5 yards (tackle by Curtis Lofton),-0.010,-0.030
1,0:23,3,7,JAX 31,0,10,Blaine Gabbert pass complete short right to Marcedes Lewis for -4 yards (tackle by Sean Weatherspoon),-0.030,-1.570
Quarter,Time,Down,ToGo,Location,JAX,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,JAX 27,0,10,"Nick Harris punts 48 yards, returned by Eric Weems for 10 yards (tackle by Morgan Trent)",-1.570,-1.270
2,14:48,1,10,ATL 35,0,10,Matt Ryan pass complete short right to Michael Turner for 1 yard (tackle by Jeremy Mincey),1.270,0.860
2,13:57,2,9,ATL 36,0,10,Matt Ryan pass incomplete deep middle intended for Roddy White,0.860,0.170
2,13:52,3,9,ATL 36,0,10,"Matt Ryan pass incomplete. Penalty on JAX: Defensive 12 On-field, 5 yards (no play)",0.170,0.830
2,13:44,3,4,ATL 41,0,10,Matt Ryan sacked by Jeremy Mincey for -4 yards,0.830,-0.910
2,13:19,4,8,ATL 37,0,10,"Matt Bosher punts 49 yards, muffed catch by Jarett Dillard, recovered by Sean Weatherspoon and returned for no gain",-0.910,6.060
2,13:07,1,5,JAX 5,0,16,"Michael Turner right guard for 5 yards, touchdown",6.060,7.000
2,,,,JAX 2,0,17,Matt Bryant kicks extra point good,0.000,0.000
2,,,,ATL 35,0,17,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,13:03,1,10,JAX 20,0,17,Maurice Jones-Drew left tackle for 43 yards (tackle by William Moore),0.280,3.120
2,12:21,1,10,ATL 37,0,17,Blaine Gabbert pass incomplete short right intended for Jarett Dillard,3.120,2.570
2,12:16,2,10,ATL 37,0,17,DuJuan Harris left end for -1 yards (tackle by William Moore),2.570,1.750
2,11:32,3,11,ATL 38,0,17,Blaine Gabbert pass incomplete deep middle intended for Chastin West (defended by Christopher Owens),1.750,0.720
2,11:27,4,11,ATL 38,0,17,"Nick Harris punts 24 yards, fair catch by Eric Weems",0.720,0.280
2,11:19,1,10,ATL 14,0,17,Michael Turner left guard for no gain (tackle by Leger Douzable),-0.280,-0.750
