Quarter,Time,Tm,Detail,TAM,PHI
1.0,12:18,Eagles,Jeremy Maclin 51 yard pass from Donovan McNabb (David Akers kick),0,7
2.0,4:40,Eagles,Leonard Weaver 20 yard pass from Donovan McNabb (David Akers kick),0,14
,1:55,Buccaneers,Kellen Winslow 9 yard pass from Josh Johnson (Shane Andrus kick),7,14
,1:34,Eagles,Jeremy Maclin 40 yard pass from Donovan McNabb (David Akers kick),7,21
3.0,8:06,Eagles,Brian Westbrook 7 yard rush (David Akers kick),7,28
4.0,12:08,Eagles,David Akers 44 yard field goal,7,31
,7:17,Buccaneers,Kellen Winslow 9 yard pass from Josh Johnson (Shane Andrus kick),14,31
,0:58,Eagles,"Safety, Darren Howard tackled Carnell Williams in the end zone.",14,33
