Unnamed: 0,TAM,PHI
First Downs,22,16
Rush-Yds-TDs,22-85-0,21-76-1
Cmp-Att-Yd-TD-INT,26-50-240-2-3,17-24-265-3-0
Sacked-Yards,3-22,3-16
Net Pass Yards,218,249
Total Yards,303,325
Fumbles-Lost,2-0,1-0
Turnovers,3,0
Penalties-Yards,4-30,10-111
Third Down Conv.,9-18,4-10
Fourth Down Conv.,1-3,0-0
Time of Possession,34:33,25:27
