Quarter,Time,Tm,Detail,ATL,TAM
1.0,1:19,Buccaneers,Connor Barth 49 yard field goal,0,3
2.0,11:10,Falcons,Matt Bryant 26 yard field goal,3,3
,3:37,Buccaneers,Josh Freeman 1 yard rush (Connor Barth kick),3,10
,1:56,Buccaneers,Connor Barth 26 yard field goal,3,13
3.0,6:50,Buccaneers,Connor Barth 28 yard field goal,3,16
4.0,9:55,Falcons,Tony Gonzalez 10 yard pass from Matt Ryan (Matt Bryant kick),10,16
,4:06,Falcons,Matt Bryant 33 yard field goal,13,16
