Unnamed: 0,TAM,ATL
First Downs,30,26
Rush-Yds-TDs,20-121-0,22-70-1
Cmp-Att-Yd-TD-INT,30-41-395-4-2,31-41-355-3-0
Sacked-Yards,2-6,1-8
Net Pass Yards,389,347
Total Yards,510,417
Fumbles-Lost,3-0,2-0
Turnovers,2,0
Penalties-Yards,4-20,5-30
Third Down Conv.,5-8,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,28:21,31:39
