Quarter,Time,Tm,Detail,CHI,TAM
1.0,8:42,Bears,Matt Forte 32 yard rush (Robbie Gould kick),7,0
,4:49,Buccaneers,"Safety, Matt Forte tackled in end zone by Ronde Barber.",7,2
2.0,7:49,Bears,Roy Williams 25 yard pass from Jay Cutler (Robbie Gould kick),14,2
,0:00,Buccaneers,Connor Barth 33 yard field goal,14,5
3.0,10:32,Bears,Marion Barber III 12 yard rush (Robbie Gould kick),21,5
4.0,12:18,Buccaneers,Kellen Winslow 2 yard pass from Josh Freeman (pass failed),21,11
,7:17,Buccaneers,Dezmon Briscoe 24 yard pass from Josh Freeman (Connor Barth kick),21,18
,1:55,Bears,Robbie Gould 25 yard field goal,24,18
