Unnamed: 0,CHI,TAM
First Downs,19,16
Rush-Yds-TDs,33-177-2,11-30-0
Cmp-Att-Yd-TD-INT,17-32-226-1-2,29-52-264-2-4
Sacked-Yards,2-8,1-14
Net Pass Yards,218,250
Total Yards,395,280
Fumbles-Lost,0-0,1-0
Turnovers,2,4
Penalties-Yards,7-54,8-69
Third Down Conv.,4-13,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:12,26:48
