Unnamed: 0,DAL,CAR
First Downs,23,13
Rush-Yds-TDs,27-107-1,23-110-0
Cmp-Att-Yd-TD-INT,27-41-204-2-0,16-29-123-1-1
Sacked-Yards,0-0,7-46
Net Pass Yards,204,77
Total Yards,311,187
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,5-45,8-90
Third Down Conv.,7-16,5-15
Fourth Down Conv.,0-0,3-3
Time of Possession,31:21,28:39
