Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Dak Prescott pass complete short left to Michael Gallup for 7 yards (tackle by Frankie Luvu),0.610,1.010
1,14:29,2,3,DAL 32,0,0,Dak Prescott pass incomplete short middle,1.010,0.300
1,14:24,3,3,DAL 32,0,0,Dak Prescott pass complete short right to KaVontae Turpin for no gain (tackle by Frankie Luvu),0.300,-1.240
1,13:47,4,2,DAL 32,0,0,"Bryan Anger punts 55 yards, fair catch by Ihmir Smith-Marsette at CAR-13",-1.240,0.320
1,13:37,1,10,CAR 13,0,0,Bryce Young scrambles right end for 4 yards (tackle by Micah Parsons and Damone Clark),-0.320,-0.300
1,13:02,2,6,CAR 17,0,0,Chuba Hubbard right guard for 3 yards (tackle by Markquese Bell and Damone Clark),-0.300,-0.590
1,12:19,3,3,CAR 20,0,0,Bryce Young pass complete short middle to Adam Thielen for 5 yards (tackle by DaRon Bland),-0.590,0.610
1,11:49,1,10,CAR 25,0,0,Chuba Hubbard left guard for 13 yards (tackle by Malik Hooker),0.610,1.470
1,11:20,1,10,CAR 38,0,0,Chuba Hubbard left end for 7 yards (tackle by Micah Parsons and Markquese Bell),1.470,1.870
1,10:43,2,3,CAR 45,0,0,Bryce Young pass incomplete short left,1.870,1.160
1,10:37,3,3,CAR 45,0,0,Bryce Young pass complete short left to Adam Thielen for 14 yards (tackle by Jourdan Lewis),1.160,2.850
1,9:57,1,10,DAL 41,0,0,Bryce Young pass incomplete deep right intended for Jonathan Mingo,2.850,2.310
1,9:50,2,10,DAL 41,0,0,Bryce Young pass complete short left to Laviska Shenault for 4 yards (tackle by DeMarcus Lawrence and Malik Hooker),2.310,2.150
1,9:06,3,6,DAL 37,0,0,Bryce Young sacked by Micah Parsons for -9 yards,2.150,0.200
1,8:26,4,15,DAL 46,0,0,"Johnny Hekker punts 29 yards, fair catch by KaVontae Turpin at DAL-17",0.200,0.060
1,8:19,1,10,DAL 17,0,0,Dak Prescott pass complete short left to Tony Pollard for 12 yards (tackle by Brian Burns),-0.060,0.870
1,7:44,1,10,DAL 29,0,0,KaVontae Turpin right end for 13 yards (tackle by Vonn Bell),0.870,1.730
1,7:07,1,10,DAL 42,0,0,Dak Prescott pass incomplete deep left intended for CeeDee Lamb (defended by Troy Hill),1.730,1.190
1,7:02,2,10,DAL 42,0,0,Tony Pollard up the middle for 9 yards (tackle by Troy Hill and Xavier Woods),1.190,1.690
1,6:23,3,1,CAR 49,0,0,Tony Pollard left end for 3 yards (tackle by Kamu Grugier-Hill and Frankie Luvu),1.690,2.520
1,5:52,1,10,CAR 46,0,0,Dak Prescott pass complete short right to Rico Dowdle for -1 yards (tackle by Troy Hill),2.520,1.840
1,5:14,2,11,CAR 47,0,0,Dak Prescott pass complete short right to Jalen Tolbert for 7 yards (tackle by Donte Jackson),1.840,2.080
1,4:38,3,4,CAR 40,0,0,Tony Pollard right end for 22 yards (tackle by Vonn Bell),2.080,4.370
1,4:02,1,10,CAR 18,0,0,Rico Dowdle right guard for no gain (tackle by Eku Leota and Frankie Luvu),4.370,3.800
1,3:25,2,10,CAR 18,6,0,"Dak Prescott pass complete deep right to Luke Schoonmaker for 18 yards, touchdown",3.800,7.000
1,3:20,,,CAR 15,7,0,Brandon Aubrey kicks extra point good,0.000,0.000
1,3:20,,,DAL 35,7,0,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
1,3:20,1,10,CAR 25,7,0,Miles Sanders right tackle for 5 yards (tackle by Markquese Bell and Jayron Kearse),0.610,0.740
1,2:53,2,5,CAR 30,7,0,Miles Sanders up the middle for 15 yards (tackle by Malik Hooker),0.740,1.930
1,2:25,1,10,CAR 45,7,0,Miles Sanders up the middle for 3 yards (tackle by Johnathan Hankins and Mazi Smith),1.930,1.790
1,1:44,2,7,CAR 48,7,0,Bryce Young pass incomplete short right intended for Jonathan Mingo,1.790,1.090
1,1:37,3,7,CAR 48,7,0,Bryce Young sacked by Micah Parsons for -9 yards,1.090,-0.780
1,1:22,4,16,CAR 39,7,0,"Johnny Hekker punts 61 yards, touchback.",-0.780,-0.280
1,1:10,1,10,DAL 20,7,0,Dak Prescott pass complete short left to CeeDee Lamb for 5 yards (tackle by Frankie Luvu),0.280,0.410
1,0:39,2,5,DAL 25,7,0,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Kamu Grugier-Hill),0.410,-0.300
1,0:33,3,5,DAL 25,7,0,Dak Prescott pass complete short middle to Michael Gallup for 5 yards (tackle by Frankie Luvu),-0.300,0.940
Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 30,7,0,Dak Prescott pass complete short left to Brandin Cooks for 22 yards (tackle by Donte Jackson),0.940,2.390
2,14:36,1,10,CAR 48,7,0,Tony Pollard left tackle for 7 yards (tackle by Deion Jones),2.390,2.790
2,13:58,2,3,CAR 41,7,0,"Dak Prescott scrambles for no gain. Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted) (no play)",2.790,1.440
2,13:36,2,13,DAL 49,7,0,"Dak Prescott pass incomplete intended for CeeDee Lamb. Penalty on Donte Jackson: Defensive Pass Interference, 28 yards (accepted) (no play)",1.440,4.040
2,13:29,1,10,CAR 23,7,0,Tony Pollard right end for -10 yards (tackle by Troy Hill and Brian Burns),4.040,2.150
2,12:56,2,20,CAR 33,7,0,Dak Prescott pass complete short left to Tony Pollard for 1 yard (tackle by Frankie Luvu),2.150,1.620
2,12:18,3,19,CAR 32,7,0,Dak Prescott pass complete short right to Brandin Cooks for 8 yards (tackle by Xavier Woods),1.620,1.870
2,12:01,4,11,CAR 24,7,0,"Penalty on Xavier Woods: Horse Collar Tackle, 12 yards (accepted) (no play)",1.870,4.780
2,12:01,1,10,CAR 12,7,0,Tony Pollard left guard for 1 yard (tackle by Derrick Brown),4.780,4.270
2,11:14,2,9,CAR 11,7,0,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by DJ Johnson),4.270,3.290
2,11:09,3,9,CAR 11,7,0,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Frankie Luvu),3.290,2.700
2,11:05,4,9,CAR 11,10,0,Brandon Aubrey 30 yard field goal good,2.700,3.000
2,11:01,,,DAL 35,10,0,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
2,11:01,1,10,CAR 25,10,0,Chuba Hubbard right guard for -2 yards (tackle by Damone Clark and Markquese Bell),0.610,-0.210
2,10:35,2,12,CAR 23,10,0,Bryce Young pass incomplete short left intended for Jonathan Mingo,-0.210,-0.890
2,10:32,3,12,CAR 23,10,0,"Penalty on Austin Corbett: False Start, 5 yards (accepted) (no play)",-0.890,-1.720
2,10:32,3,17,CAR 18,10,0,Bryce Young pass complete short middle to Laviska Shenault for 5 yards (tackle by Damone Clark),-1.720,-1.830
2,9:54,4,12,CAR 23,10,0,"Johnny Hekker punts 50 yards, fair catch by KaVontae Turpin at DAL-27. Penalty on Juanyeh Thomas: Offensive Holding, 10 yards (accepted)",-1.830,0.060
2,9:47,1,10,DAL 17,10,0,Tony Pollard right tackle for 5 yards (tackle by DJ Johnson),-0.060,0.210
2,9:09,2,5,DAL 22,10,0,Dak Prescott pass complete short left to Jake Ferguson for 8 yards (tackle by Troy Hill),0.210,0.940
2,8:34,1,10,DAL 30,10,0,Dak Prescott pass complete short right to Tony Pollard for no gain (tackle by Troy Hill),0.940,0.390
2,7:51,2,10,DAL 30,10,0,Rico Dowdle right tackle for no gain (tackle by Derrick Brown and Nick Thurman),0.390,-0.300
