Quarter,Time,Tm,Detail,DAL,CAR
1.0,3:20,Cowboys,Luke Schoonmaker 18 yard pass from Dak Prescott (Brandon Aubrey kick),7,0
2.0,11:01,Cowboys,Brandon Aubrey 30 yard field goal,10,0
,1:56,Panthers,Eddy Pineiro 42 yard field goal,10,3
,0:24,Cowboys,CeeDee Lamb 5 yard pass from Dak Prescott (Brandon Aubrey kick),17,3
3.0,1:59,Panthers,Tommy Tremble 4 yard pass from Bryce Young (Eddy Pineiro kick),17,10
4.0,13:58,Cowboys,Tony Pollard 21 yard rush (Brandon Aubrey kick),24,10
,13:48,Cowboys,DaRon Bland 30 yard interception return (Brandon Aubrey kick failed),30,10
,7:18,Cowboys,Brandon Aubrey 27 yard field goal,33,10
