Unnamed: 0,CHI,GNB
First Downs,16,18
Rush-Yds-TDs,33-82-1,22-121-1
Cmp-Att-Yd-TD-INT,15-25-214-2-1,29-40-322-1-2
Sacked-Yards,2-11,1-4
Net Pass Yards,203,318
Total Yards,285,439
Fumbles-Lost,0-0,3-3
Turnovers,1,5
Penalties-Yards,6-40,12-93
Third Down Conv.,3-14,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:30,30:30
