Quarter,Time,Tm,Detail,CHI,GNB
1.0,11:01,Packers,DeShawn Wynn 2 yard rush (Mason Crosby kick),0,7
2.0,7:52,Bears,Cedric Benson 10 yard rush (Robbie Gould kick),7,7
,4:55,Packers,Greg Jennings 41 yard pass from Brett Favre (Mason Crosby kick),7,14
,0:01,Packers,Mason Crosby 37 yard field goal,7,17
3.0,12:03,Bears,Robbie Gould 44 yard field goal,10,17
,9:02,Packers,Mason Crosby 37 yard field goal,10,20
,4:19,Bears,Greg Olsen 19 yard pass from Brian Griese (Robbie Gould kick),17,20
4.0,14:13,Bears,Robbie Gould 36 yard field goal,20,20
,2:05,Bears,Desmond Clark 34 yard pass from Brian Griese (Robbie Gould kick),27,20
