Unnamed: 0,ARI,TEN
First Downs,24,32
Rush-Yds-TDs,36-145-2,19-66-0
Cmp-Att-Yd-TD-INT,20-30-231-1-0,36-58-402-4-2
Sacked-Yards,2-16,3-8
Net Pass Yards,215,394
Total Yards,360,460
Fumbles-Lost,1-0,3-1
Turnovers,0,3
Penalties-Yards,9-69,3-16
Third Down Conv.,6-12,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,30:58,33:44
