Quarter,Time,Tm,Detail,ARI,TEN
1,9:34,Titans,Rob Bironas 45 yard field goal,0,3
,4:30,Cardinals,Rashard Mendenhall 1 yard rush (Jay Feely kick),7,3
,0:00,Titans,Chris Johnson 25 yard pass from Ryan Fitzpatrick (Rob Bironas kick),7,10
2,7:21,Cardinals,Jay Feely 25 yard field goal,10,10
3,13:32,Cardinals,Jay Feely 47 yard field goal,13,10
,6:16,Titans,Delanie Walker 1 yard pass from Ryan Fitzpatrick (Rob Bironas kick),13,17
,2:14,Cardinals,Jake Ballard 6 yard pass from Carson Palmer (Jay Feely kick),20,17
4,6:50,Cardinals,Rashard Mendenhall 1 yard rush (Jay Feely kick),27,17
,6:13,Cardinals,Antoine Cason 20 yard interception return (Jay Feely kick),34,17
,3:12,Titans,Michael Preston 10 yard pass from Ryan Fitzpatrick (Rob Bironas kick),34,24
,0:47,Titans,Rob Bironas 24 yard field goal,34,27
,0:10,Titans,Michael Preston 8 yard pass from Ryan Fitzpatrick (Rob Bironas kick),34,34
OT,10:18,Cardinals,Jay Feely 41 yard field goal,37,34
