Quarter,Time,Down,ToGo,Location,ARI,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Rob Bironas kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ARI 20,0,0,Carson Palmer pass complete short left to Jake Ballard for no gain,0.280,-0.270
1,14:22,2,10,ARI 20,0,0,Carson Palmer pass incomplete short right intended for Larry Fitzgerald,-0.270,-0.960
1,14:15,3,10,ARI 20,0,0,Carson Palmer pass incomplete short right intended for Andre Ellington,-0.960,-2.030
1,14:11,4,10,ARI 20,0,0,"Dave Zastudil punts 53 yards, returned by Leon Washington for 9 yards (tackle by Bryan McCann)",-2.030,-1.330
1,14:02,1,10,TEN 36,0,0,Ryan Fitzpatrick pass complete short right to Nate Washington for 8 yards (tackle by Jerraud Powers),1.330,1.870
1,13:29,2,2,TEN 44,0,0,Ryan Fitzpatrick pass complete short right to Delanie Walker for 7 yards (tackle by Yeremiah Bell),1.870,2.320
1,12:58,1,10,ARI 49,0,0,Chris Johnson left guard for 6 yards (tackle by Karlos Dansby),2.320,2.590
1,12:24,2,4,ARI 43,0,0,Ryan Fitzpatrick pass complete short left to Kendall Wright for 7 yards (tackle by Patrick Peterson),2.590,3.180
1,11:51,1,10,ARI 36,0,0,Chris Johnson right tackle for 2 yards (tackle by Karlos Dansby),3.180,2.910
1,11:14,2,8,ARI 34,0,0,Chris Johnson left tackle for 5 yards (tackle by Darnell Dockett),2.910,2.870
1,10:38,3,3,ARI 29,0,0,"Ryan Fitzpatrick sacked by Marcus Benard for 2 yards. Ryan Fitzpatrick fumbles (forced by Marcus Benard), recovered by Brian Schwenke at ARI-31 and returned for 4 yards",2.870,1.820
1,9:40,4,1,ARI 27,0,3,Rob Bironas 45 yard field goal good,1.820,3.000
1,9:40,,,TEN 35,0,3,"Rob Bironas kicks off 70 yards, returned by Javier Arenas for 28 yards (tackle by George Wilson)",0.000,-0.480
1,9:28,1,10,ARI 23,0,3,Andre Ellington right end for 13 yards (tackle by Zach Brown),0.480,1.330
1,8:46,1,10,ARI 36,0,3,Carson Palmer pass complete short left to Michael Floyd for 13 yards (tackle by Moise Fokou),1.330,2.190
1,8:14,1,10,ARI 49,0,3,Carson Palmer pass complete deep right to Andre Ellington for 26 yards (tackle by Zach Brown),2.190,3.910
1,7:34,1,10,TEN 25,0,3,Andre Ellington right tackle for no gain (tackle by Sammie Lee Hill),3.910,3.360
1,6:59,2,10,TEN 25,0,3,Rashard Mendenhall up the middle for 9 yards (tackle by Michael Griffin and Jason McCourty),3.360,4.060
1,6:15,3,1,TEN 16,0,3,Stepfan Taylor up the middle for 1 yard (tackle by Zaviar Gooden),4.060,4.580
1,5:33,1,10,TEN 15,0,3,Rashard Mendenhall right tackle for -1 yards (tackle by Bernard Pollard),4.580,3.810
1,4:52,2,11,TEN 16,0,3,"Carson Palmer pass complete short right to Andre Ellington for 14 yards (tackle by Blidi Wreh-Wilson and Jason McCourty). Penalty on Kamerion Wimbley: Roughing the Passer, 1 yards",3.810,6.970
1,4:34,1,1,TEN 1,6,3,"Rashard Mendenhall up the middle for 1 yard, touchdown",6.970,7.000
1,4:34,,,TEN 2,7,3,Jay Feely kicks extra point good,0.000,0.000
1,4:34,,,ARI 35,7,3,"Jay Feely kicks off 66 yards, returned by Leon Washington for 33 yards (tackle by Bryan McCann)",0.000,-1.070
1,4:24,1,10,TEN 32,7,3,Ryan Fitzpatrick pass complete short left to Kendall Wright for -2 yards (tackle by Yeremiah Bell),1.070,0.260
1,3:51,2,12,TEN 30,7,3,Chris Johnson left tackle for 15 yards (tackle by Jerraud Powers),0.260,1.930
1,3:14,1,10,TEN 45,7,3,Chris Johnson up the middle for no gain (tackle by John Abraham and Darnell Dockett),1.930,1.380
1,2:42,2,10,TEN 45,7,3,Ryan Fitzpatrick pass complete short right to Delanie Walker for 22 yards,1.380,3.380
1,2:05,1,10,ARI 33,7,3,Chris Johnson up the middle for -1 yards (tackle by Darnell Dockett),3.380,2.700
1,1:26,2,11,ARI 34,7,3,Ryan Fitzpatrick pass complete short middle to Kendall Wright for 12 yards (tackle by Jerraud Powers),2.700,4.110
1,0:46,1,10,ARI 22,7,3,Chris Johnson left end for -3 yards (tackle by Darnell Dockett),4.110,3.160
1,0:09,2,13,ARI 25,7,9,"Ryan Fitzpatrick pass complete short left to Chris Johnson for 25 yards, touchdown",3.160,7.000
1,0:09,,,ARI 2,7,10,Rob Bironas kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,ARI,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,TEN 35,7,10,"Rob Bironas kicks off no gain, returned by Javier Arenas for 17 yards (tackle by Jackie Battle)",0.000,0.670
2,14:54,1,10,ARI 26,7,10,Carson Palmer pass complete short right to Larry Fitzgerald for 7 yards (tackle by Moise Fokou),0.670,1.070
2,14:17,2,3,ARI 33,7,10,Rashard Mendenhall up the middle for 4 yards (tackle by Ropati Pitoitua and Zaviar Gooden),1.070,1.400
2,13:43,1,10,ARI 37,7,10,Rashard Mendenhall right tackle for 3 yards (tackle by Bernard Pollard),1.400,1.260
2,12:59,2,7,ARI 40,7,10,Carson Palmer pass complete short left to Larry Fitzgerald for 10 yards (tackle by Alterraun Verner),1.260,2.260
2,12:22,1,10,,7,10,Carson Palmer pass complete short right to Andre Roberts for 3 yards (tackle by Coty Sensabaugh),2.260,2.120
2,11:45,2,7,TEN 47,7,10,Andre Ellington right end for 22 yards (tackle by Michael Griffin),2.120,3.910
2,11:08,1,10,TEN 25,7,10,Rashard Mendenhall up the middle for 4 yards (tackle by Moise Fokou),3.910,3.900
2,10:29,2,6,TEN 21,7,10,Rashard Mendenhall right tackle for 3 yards (tackle by Jason McCourty),3.900,3.660
2,9:42,3,3,TEN 18,7,10,Carson Palmer pass complete short middle to Larry Fitzgerald for 3 yards (tackle by Alterraun Verner and Coty Sensabaugh),3.660,4.580
2,8:59,1,10,TEN 15,7,10,Andre Ellington right tackle for -1 yards (tackle by Blidi Wreh-Wilson),4.580,3.810
2,8:13,2,11,TEN 16,7,10,Carson Palmer pass incomplete short right intended for Larry Fitzgerald,3.810,3.040
2,8:07,3,11,TEN 16,7,10,Carson Palmer pass complete short middle to Andre Ellington for 9 yards (tackle by Bernard Pollard and Coty Sensabaugh),3.040,3.000
2,7:25,4,2,TEN 7,10,10,Jay Feely 25 yard field goal good,3.000,3.000
2,7:25,,,ARI 35,10,10,"Jay Feely kicks off 63 yards, returned by Leon Washington for 15 yards (tackle by Justin Bethel)",0.000,0.060
2,7:16,1,10,TEN 17,10,10,Shonn Greene left end for 2 yards (tackle by Rashad Johnson and Yeremiah Bell),-0.060,-0.250
2,6:36,2,8,TEN 19,10,10,Ryan Fitzpatrick pass complete short left to Kenny Britt for 8 yards (tackle by Darnell Dockett and Antoine Cason),-0.250,0.740
2,5:47,1,10,TEN 27,10,10,Shonn Greene left tackle for 6 yards (tackle by Darnell Dockett),0.740,1.010
