Unnamed: 0,SDG,KAN
First Downs,17,10
Rush-Yds-TDs,36-135-0,30-121-0
Cmp-Att-Yd-TD-INT,18-30-268-3-0,11-26-100-1-3
Sacked-Yards,0-0,5-18
Net Pass Yards,268,82
Total Yards,403,203
Fumbles-Lost,0-0,0-0
Turnovers,0,3
Penalties-Yards,9-59,7-41
Third Down Conv.,8-17,3-15
Fourth Down Conv.,0-1,1-3
Time of Possession,32:45,27:15
