Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Ryan Succop kicks off 71 yards, returned by Darren Sproles for 18 yards (tackle by David Herron)",0.000,-0.060
1,14:56,1,10,SDG 17,0,0,Philip Rivers pass incomplete deep middle intended for Vincent Jackson (defended by Brandon Flowers),-0.060,-0.580
1,14:49,2,10,SDG 17,0,0,LaDainian Tomlinson right end for -2 yards (tackle by Brandon Flowers),-0.580,-1.570
1,14:17,3,12,SDG 15,0,0,Philip Rivers pass incomplete short right intended for Vincent Jackson,-1.570,-2.440
1,14:12,4,12,SDG 15,0,0,"Mike Scifres punts 63 yards, returned by Bobby Wade for 17 yards (tackle by David Binn). Penalty on Malcom Floyd: Player Out of Bounds on , 5 yards",-2.440,-1.860
1,13:54,1,10,KAN 44,0,0,Larry Johnson middle for 3 yards (tackle by Kevin Ellison),1.860,1.720
1,13:24,2,7,KAN 47,0,0,Matt Cassel sacked by Luis Castillo for 0 yards,1.720,1.030
1,12:46,3,7,KAN 47,0,0,Matt Cassel pass incomplete short right intended for Dwayne Bowe,1.030,-0.260
1,12:40,4,7,KAN 47,0,0,"Dustin Colquitt punts 53 yards, touchback",-0.260,-0.280
1,12:32,1,10,SDG 20,0,0,LaDainian Tomlinson middle for 36 yards (tackle by Mike Brown),0.280,2.650
1,12:04,1,10,KAN 44,0,0,Philip Rivers pass complete short right to Antonio Gates for 4 yards (tackle by Corey Mays),2.650,2.650
1,11:23,2,6,KAN 40,0,0,LaDainian Tomlinson left tackle for 7 yards (tackle by Brandon Flowers),2.650,3.380
1,10:45,1,10,KAN 33,0,0,LaDainian Tomlinson right end for 1 yard (tackle by Demorrio Williams),3.380,2.970
1,10:05,2,9,KAN 32,0,0,Philip Rivers pass complete short left to Antonio Gates for 5 yards (tackle by Jovan Belcher),2.970,2.940
1,9:25,3,4,KAN 27,0,0,Darren Sproles middle for 6 yards (tackle by Brandon Carr),2.940,4.170
1,8:48,1,10,KAN 21,0,0,"Philip Rivers middle for 11 yards. Penalty on Corey Mays: Unnecessary Roughness, 5 yards",4.170,6.060
1,8:22,1,5,KAN 5,0,0,Philip Rivers pass incomplete short left intended for Malcom Floyd (defended by Brandon Flowers),6.060,5.150
1,8:19,2,5,KAN 5,0,0,LaDainian Tomlinson middle for 2 yards (tackle by Glenn Dorsey),5.150,4.720
1,7:36,3,3,KAN 3,6,0,"Philip Rivers pass complete short left to Malcom Floyd for 3 yards, touchdown",4.720,7.000
1,,,,KAN 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 56 yards, returned by Jamaal Charles for 18 yards (tackle by Brandon Siler)",0.000,1.070
1,7:28,1,10,KAN 32,7,0,"Matt Cassel pass incomplete short left intended for Dwayne Bowe is intercepted by Jacques Cesaire at KAN-34 and returned for 2 yards. Penalty on Shawne Merriman: Defensive Offside, 5 yards (no play)",1.070,1.800
1,7:19,1,5,KAN 37,7,0,"Larry Johnson left end for 3 yards (tackle by Brandon Siler). Penalty on Sean Ryan: Offensive Holding, 10 yards",1.800,0.940
1,6:53,1,12,KAN 30,7,0,Matt Cassel sacked by Eric Weddle for -6 yards,0.940,-0.550
1,6:25,2,18,KAN 24,7,0,Matt Cassel pass complete short right to Bobby Wade for 13 yards (tackle by Quentin Jammer),-0.550,0.500
1,5:43,3,5,KAN 37,7,0,Larry Johnson right tackle for 4 yards (tackle by Tim Dobbins),0.500,-0.650
1,5:02,4,1,KAN 41,7,0,Matt Cassel middle for no gain (tackle by Jacques Cesaire),-0.650,-2.850
1,4:55,1,10,KAN 41,7,0,LaDainian Tomlinson left end for 8 yards (tackle by Brandon Carr),2.850,3.390
1,4:33,2,2,KAN 33,7,0,Philip Rivers pass incomplete short right intended for Mike Tolbert,3.390,2.680
1,4:28,3,2,KAN 33,7,0,LaDainian Tomlinson middle for 4 yards (tackle by Demorrio Williams),2.680,3.640
1,3:51,1,10,KAN 29,7,0,Darren Sproles middle for 3 yards (tackle by Corey Mays and Tamba Hali),3.640,3.510
1,3:15,2,7,KAN 26,7,0,Philip Rivers pass complete short right to Darren Sproles for 1 yard (tackle by Mike Vrabel),3.510,2.940
1,2:44,3,6,KAN 25,7,0,Philip Rivers pass complete short left to Vincent Jackson for 12 yards (tackle by Brandon Carr),2.940,4.710
1,2:08,1,10,KAN 13,7,0,LaDainian Tomlinson middle for 3 yards (tackle by Glenn Dorsey),4.710,4.580
1,1:31,2,7,KAN 10,13,0,"Philip Rivers pass complete short left to Vincent Jackson for 10 yards, touchdown",4.580,7.000
1,,,,KAN 2,14,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,14,0,"Nate Kaeding kicks off 60 yards, returned by Jamaal Charles for 23 yards (tackle by Kassim Osgood)",0.000,1.140
1,1:16,1,10,KAN 33,14,0,Larry Johnson right end for 1 yard (tackle by Tim Dobbins),1.140,0.730
1,0:40,2,9,KAN 34,14,0,Matt Cassel pass incomplete deep left intended for Lance Long (defended by Steve Gregory),0.730,0.040
1,0:35,3,9,KAN 34,14,0,Matt Cassel pass incomplete deep right intended for Lance Long,0.040,-1.110
1,0:27,4,9,KAN 34,14,0,Dustin Colquitt punts 50 yards,-1.110,0.140
1,0:16,1,10,SDG 16,14,0,LaDainian Tomlinson middle for 1 yard (tackle by Mike Brown and Tamba Hali),-0.140,-0.510
Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,SDG 17,14,0,Philip Rivers pass complete short left to Malcom Floyd for 6 yards (tackle by Brandon Carr),-0.510,-0.450
2,14:20,3,3,SDG 23,14,0,"Penalty on Kris Dielman: False Start, 5 yards (no play)",-0.450,-1.070
2,13:55,3,8,SDG 18,14,0,Philip Rivers pass complete deep right to Vincent Jackson for 51 yards (tackle by Jon McGraw),-1.070,3.510
2,13:08,1,10,KAN 31,14,0,LaDainian Tomlinson right tackle for 4 yards (tackle by Tamba Hali),3.510,3.510
2,12:32,2,6,KAN 27,14,0,Philip Rivers pass complete short left to Antonio Gates for 25 yards (tackle by Demorrio Williams),3.510,6.740
2,11:59,1,2,KAN 2,14,0,LaDainian Tomlinson left tackle for no gain (tackle by Jovan Belcher),6.740,5.720
2,11:18,2,2,KAN 2,14,0,"Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Tyson Jackson). Penalty on Tyson Jackson: Defensive Pass Interfere, 1 yards (no play)",5.720,6.970
2,11:13,1,1,KAN 1,14,0,LaDainian Tomlinson middle for no gain (tackle by Corey Mays),6.970,5.910
2,10:39,2,1,KAN 1,14,0,LaDainian Tomlinson left end for -1 yards (tackle by Ron Edwards),5.910,4.950
2,9:58,3,2,KAN 2,14,0,Philip Rivers pass incomplete short left intended for Chris Chambers (defended by Brandon Carr),4.950,3.250
,,,,,,,"SDG challenged the incomplete pass ruling, and the play was upheld.",,
2,9:52,4,2,KAN 2,17,0,Nate Kaeding 20 yard field goal good,3.250,3.000
2,,,,SDG 30,17,0,"Nate Kaeding kicks off 61 yards, returned by Jamaal Charles for 23 yards (tackle by Mike Tolbert)",0.000,1.070
2,9:43,1,10,KAN 32,17,0,Larry Johnson left tackle for 2 yards (tackle by Shawne Merriman),1.070,0.800
2,9:12,2,8,KAN 34,17,0,Larry Johnson middle for 9 yards (tackle by Tim Dobbins),0.800,1.800
