Unnamed: 0,DET,NWE
First Downs,17,22
Rush-Yds-TDs,27-101-0,35-176-0
Cmp-Att-Yd-TD-INT,19-35-229-0-1,17-21-188-1-1
Sacked-Yards,2-18,0-0
Net Pass Yards,211,188
Total Yards,312,364
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,7-82,6-46
Third Down Conv.,4-12,3-9
Fourth Down Conv.,0-6,0-0
Time of Possession,28:31,31:29
