Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DET 25,0,0,Jamaal Williams right guard for 3 yards (tackle by Ja'Whaun Bentley and Christian Barmore),0.610,0.470
1,14:22,2,7,DET 28,0,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Myles Bryant),0.470,0.430
1,13:44,3,2,DET 33,0,0,Jamaal Williams up the middle for 3 yards (tackle by Deatrich Wise),0.430,1.330
1,13:13,1,10,DET 36,0,0,Justin Jackson right guard for 4 yards (tackle by Matt Judon and Ja'Whaun Bentley),1.330,1.330
1,12:34,2,6,DET 40,0,0,Jared Goff pass complete short left to Kalif Raymond for no gain (tackle by Kyle Dugger),1.330,0.630
1,11:53,3,6,DET 40,0,0,Jared Goff scrambles right end for 5 yards (tackle by Mack Wilson),0.630,-0.390
1,11:18,4,1,DET 45,0,0,Jamaal Williams up the middle for no gain (tackle by Christian Barmore and Davon Godchaux),-0.390,-2.590
1,11:09,1,10,DET 45,0,0,Damien Harris up the middle for 1 yard (tackle by Saivion Smith and Alex Anzalone),2.590,2.180
1,10:29,2,9,DET 44,0,0,Bailey Zappe pass complete short left to Hunter Henry for 23 yards (tackle by Kerby Joseph and Malcolm Rodriguez),2.180,4.170
1,9:54,1,10,DET 21,0,0,Damien Harris left tackle for 1 yard (tackle by Alim McNeill),4.170,3.760
1,9:35,2,9,DET 20,0,0,Bailey Zappe pass complete short right to Damien Harris for 1 yard (tackle by Will Harris),3.760,3.180
1,8:57,3,8,DET 19,0,0,Bailey Zappe pass incomplete short left intended for Hunter Henry (defended by Alex Anzalone),3.180,2.180
1,8:50,4,8,DET 19,0,3,Nick Folk 37 yard field goal good,2.180,3.000
1,8:47,,,NWE 35,0,3,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,8:47,1,10,DET 25,0,3,Jared Goff pass complete short right to Josh Reynolds for 22 yards (tackle by Jonathan Jones),0.610,2.060
1,8:01,1,10,DET 47,0,3,Jamaal Williams up the middle for 2 yards (tackle by Christian Barmore and Adrian Phillips),2.060,1.790
1,7:23,2,8,DET 49,0,3,Craig Reynolds left guard for 19 yards (tackle by Jack Jones),1.790,3.450
1,6:58,1,10,NWE 32,0,3,Jared Goff scrambles right end for 3 yards (tackle by Jonathan Jones),3.450,3.310
1,6:19,2,7,NWE 29,0,3,Justin Jackson left guard for 11 yards (tackle by Devin McCourty and Anfernee Jennings),3.310,4.370
1,5:38,1,10,NWE 18,0,3,Jared Goff pass short left intended for T.J. Hockenson is intercepted by Jack Jones at NE-3 and returned for no gain,4.370,0.380
1,5:32,1,10,NWE 3,0,3,Rhamondre Stevenson right guard for 4 yards (tackle by Alex Anzalone),-0.380,-0.490
1,4:56,2,6,NWE 7,0,3,Rhamondre Stevenson left tackle for 1 yard (tackle by Isaiah Buggs and Malcolm Rodriguez),-0.490,-0.840
1,4:20,3,5,NWE 8,0,3,Bailey Zappe pass complete short right to Jakobi Meyers for 12 yards (tackle by AJ Parker),-0.840,0.280
1,3:48,1,10,NWE 20,0,3,Rhamondre Stevenson up the middle for 49 yards (tackle by Alex Anzalone),0.280,3.510
1,3:04,1,10,DET 31,0,3,Rhamondre Stevenson up the middle for 2 yards (tackle by Isaiah Buggs and DeShon Elliott),3.510,3.240
1,2:23,2,8,DET 29,0,3,"Penalty on Kendrick Bourne: False Start, 6 yards (accepted) (no play)",3.240,2.500
1,2:02,2,13,DET 35,0,3,Bailey Zappe pass complete short left to Jakobi Meyers for 10 yards (tackle by AJ Parker),2.500,3.070
1,1:27,3,4,DET 25,0,3,Rhamondre Stevenson left end for 4 yards (tackle by Alex Anzalone),3.070,4.170
1,0:48,1,10,DET 21,0,3,Damien Harris left guard for 9 yards (tackle by DeShon Elliott),4.170,5.160
1,0:10,2,1,DET 12,0,3,Damien Harris left guard for no gain (tackle by Benito Jones),5.160,4.490
Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,DET 12,0,3,Rhamondre Stevenson up the middle for -2 yards (tackle by Alim McNeill and Kerby Joseph),4.490,2.610
2,14:19,4,3,DET 14,0,6,Nick Folk 32 yard field goal good,2.610,3.000
2,14:14,,,NWE 35,0,6,"Jake Bailey kicks off 65 yards, returned by Maurice Alexander for 47 yards (tackle by Jake Bailey)",0.000,2.060
2,14:05,1,10,DET 47,0,6,"Jamaal Williams right tackle for 4 yards (tackle by Deatrich Wise). Penalty on Davon Godchaux: Defensive Holding, 5 yards (accepted)",2.060,2.650
2,13:42,1,10,NWE 44,0,6,Jamaal Williams right tackle for 5 yards (tackle by Jahlani Tavai),2.650,2.850
2,13:09,2,4,NWE 39,0,6,Jamaal Williams right tackle for 4 yards (tackle by Deatrich Wise and Ja'Whaun Bentley),2.850,2.610
2,12:31,3,1,NWE 35,0,6,Jamaal Williams right guard for 1 yard (tackle by Sam Roberts and Kyle Dugger),2.610,3.310
2,11:55,1,10,NWE 34,0,6,Jared Goff pass incomplete deep left intended for T.J. Hockenson,3.310,2.770
2,11:49,2,10,NWE 34,0,6,Craig Reynolds up the middle for 3 yards (tackle by Ja'Whaun Bentley and Kyle Dugger),2.770,2.480
2,11:07,3,7,NWE 31,0,6,Jared Goff sacked by Matt Judon for -9 yards,2.480,0.590
2,10:23,4,16,NWE 40,0,6,"Penalty on Scott Daly: False Start, 5 yards (accepted) (no play)",0.590,0.270
2,10:15,4,21,NWE 45,0,6,Jack Fox punts 32 yards downed by Chris Board,0.270,0.320
2,10:03,1,10,NWE 13,0,6,Bailey Zappe pass complete short left to Jakobi Meyers for 17 yards (tackle by Derrick Barnes),-0.320,0.940
