Unnamed: 0,KAN,DAL
First Downs,17,24
Rush-Yds-TDs,19-68-0,31-131-2
Cmp-Att-Yd-TD-INT,25-34-263-2-1,21-33-249-2-0
Sacked-Yards,2-8,1-5
Net Pass Yards,255,244
Total Yards,323,375
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,8-52,5-65
Third Down Conv.,4-11,7-12
Fourth Down Conv.,0-1,0-0
Time of Possession,28:43,31:17
