Quarter,Time,Down,ToGo,Location,KAN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott left tackle for 4 yards (tackle by Rakeem Nunez-Roches),0.610,0.600
1,14:26,2,6,DAL 29,0,0,Dak Prescott pass complete short middle to Cole Beasley for 5 yards (tackle by Steven Nelson),0.600,0.000
1,13:48,,,,,,Timeout #1 by Dallas Cowboys,0.000,-0.560
1,13:48,3,1,DAL 34,0,0,Ezekiel Elliott left end for 10 yards (tackle by Daniel Sorensen),0.560,1.860
1,13:11,1,10,DAL 44,0,0,Ezekiel Elliott right tackle for 1 yard (tackle by Reggie Ragland),1.860,1.450
1,12:37,2,9,DAL 45,0,0,Dak Prescott pass complete short left to Terrance Williams for 8 yards (tackle by Frank Zombo and Daniel Sorensen),1.450,1.820
1,11:58,3,1,KAN 47,0,0,Dak Prescott pass incomplete short left intended for Cole Beasley,1.820,0.130
1,11:52,4,1,KAN 47,0,0,"Chris Jones punts 34 yards, fair catch by Tyreek Hill",0.130,0.320
1,11:44,1,10,KAN 13,0,0,Kareem Hunt middle for 3 yards (tackle by Anthony Hitchens),-0.320,-0.440
1,11:05,2,7,KAN 16,0,0,Kareem Hunt left end for 3 yards (tackle by Damien Wilson),-0.440,-0.710
1,10:18,3,4,KAN 19,0,0,Alex Smith pass incomplete short middle intended for Travis Kelce (defended by Xavier Woods),-0.710,-2.140
1,10:18,4,4,KAN 19,0,0,"Penalty on James Winchester: False Start, 5 yards (no play)",-2.140,-2.470
1,10:13,4,9,KAN 14,0,0,"Dustin Colquitt punts 49 yards, fair catch by Ryan Switzer",-2.470,-1.400
1,10:05,1,10,DAL 37,0,0,Ezekiel Elliott left tackle for 4 yards (tackle by Derrick Johnson and Kevin Pierre-Louis),1.400,1.400
1,9:31,2,6,DAL 41,0,0,Ezekiel Elliott middle for -4 yards (tackle by Kevin Pierre-Louis),1.400,0.170
1,8:55,3,10,DAL 37,0,0,Dak Prescott pass incomplete short right intended for Dez Bryant,0.170,-0.910
1,8:48,4,10,DAL 37,0,0,"Chris Jones punts 50 yards, returned by De'Anthony Thomas for no gain",-0.910,0.320
1,8:37,1,10,KAN 13,0,0,Kareem Hunt right tackle for no gain (tackle by David Irving),-0.320,-0.770
1,7:59,2,10,KAN 13,0,0,Alex Smith pass complete short right to Ross Travis for 3 yards (tackle by Orlando Scandrick),-0.770,0.000
1,7:24,,,,,,Timeout #1 by Kansas City Chiefs,0.000,1.060
1,7:24,3,7,KAN 16,0,0,Alex Smith pass complete short left to Kareem Hunt for -1 yards (tackle by Sean Lee),-1.060,-2.440
1,6:44,4,8,KAN 15,0,0,"Dustin Colquitt punts 47 yards, returned by Ryan Switzer for 1 yard (tackle by Steven Terrell)",-2.440,-1.530
1,6:34,1,10,DAL 39,0,0,Dak Prescott pass incomplete short left intended for James Hanna,1.530,0.990
1,6:29,2,10,DAL 39,0,0,Dak Prescott pass complete deep middle to Dez Bryant for 17 yards (tackle by Kenneth Acker),0.990,2.650
1,5:45,1,10,KAN 44,0,0,Dak Prescott pass complete short left to Terrance Williams for 8 yards (tackle by Marcus Peters),2.650,3.190
1,5:07,2,2,KAN 36,0,0,Ezekiel Elliott left tackle for 8 yards (tackle by Tamba Hali),3.190,3.710
1,4:30,1,10,KAN 28,0,0,"Dak Prescott pass complete short left to Jason Witten for 10 yards (tackle by Daniel Sorensen). Penalty on Tyron Smith: Offensive Holding, 10 yards (no play)",3.710,3.050
1,3:58,1,20,KAN 38,0,0,Dak Prescott pass complete short left to Dez Bryant for 5 yards (tackle by Kenneth Acker),3.050,2.490
1,3:18,2,15,KAN 33,0,0,Dak Prescott pass complete short left to Terrance Williams for 27 yards (tackle by Daniel Sorensen),2.490,5.830
1,2:42,1,6,KAN 6,0,6,"Dak Prescott pass complete short middle to Cole Beasley for 6 yards, touchdown",5.830,7.000
1,2:36,,,KAN 15,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,2:36,,,DAL 35,0,7,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
1,2:36,1,10,KAN 25,0,7,Alex Smith pass complete short left to Kareem Hunt for 5 yards (tackle by Jaylon Smith),0.610,0.740
1,1:51,2,5,KAN 30,0,7,Alex Smith pass complete short left to Travis Kelce for 13 yards (tackle by Jaylon Smith and Benson Mayowa),0.740,1.800
1,1:11,1,10,KAN 43,0,7,Kareem Hunt left tackle for no gain (tackle by Damien Wilson),1.800,1.250
1,0:32,2,10,KAN 43,0,7,Tyreek Hill for 12 yards,1.250,2.590
Quarter,Time,Down,ToGo,Location,KAN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 45,0,7,Alex Smith right end for 3 yards (tackle by Jaylon Smith),2.590,2.450
2,14:15,2,7,DAL 42,0,7,Alex Smith pass incomplete short middle intended for Demetrius Harris,2.450,1.750
2,14:10,3,7,DAL 42,0,7,Alex Smith pass incomplete deep right intended for Tyreek Hill,1.750,0.460
2,14:04,4,7,DAL 42,0,7,"Dustin Colquitt punts 42 yards, touchback",0.460,-0.280
2,13:53,1,10,DAL 20,0,7,Dak Prescott pass complete short left to Terrance Williams for 6 yards (tackle by Kevin Pierre-Louis),0.280,0.540
2,13:23,2,4,DAL 26,0,7,Ezekiel Elliott left tackle for -3 yards (tackle by Roy Miller),0.540,-0.560
2,12:41,3,7,DAL 23,0,7,Dak Prescott pass incomplete deep left intended for Brice Butler,-0.560,-1.830
2,12:35,4,7,DAL 23,0,7,"Chris Jones punts 41 yards, fair catch by Tyreek Hill",-1.830,-1.330
2,12:27,1,10,KAN 36,0,7,Alex Smith pass complete deep left to Travis Kelce for 22 yards (tackle by Byron Jones and Damien Wilson),1.330,2.790
2,11:48,1,10,DAL 42,0,7,Tyreek Hill left tackle for 2 yards (tackle by Byron Jones and Brian Price),2.790,2.510
2,11:04,2,8,DAL 40,0,7,Alex Smith pass complete short right to Demarcus Robinson for 10 yards,2.510,3.580
2,10:25,1,10,DAL 30,0,7,Kareem Hunt right guard for 1 yard (tackle by Orlando Scandrick),3.580,3.170
2,9:43,2,9,DAL 29,0,7,Alex Smith pass complete short right to Kareem Hunt for 11 yards (tackle by Anthony Brown),3.170,4.370
2,9:00,1,10,DAL 18,0,7,Alex Smith pass incomplete short right intended for Kareem Hunt,4.370,3.800
2,9:00,2,10,DAL 18,0,7,"Penalty on Mitchell Schwartz: False Start, 5 yards (no play)",3.800,3.150
2,8:55,2,15,DAL 23,0,7,Kareem Hunt middle for 1 yard (tackle by Sean Lee and Demarcus Lawrence),3.150,2.610
2,8:55,3,14,DAL 22,0,7,"Penalty on Laurent Duvernay-Tardif: False Start, 5 yards (no play)",2.610,1.950
