Quarter,Time,Tm,Detail,KAN,DAL
1.0,2:36,Cowboys,Cole Beasley 6 yard pass from Dak Prescott (Mike Nugent kick),0,7
2.0,7:19,Chiefs,Harrison Butker 38 yard field goal,3,7
,0:13,Cowboys,Dak Prescott 10 yard rush (Mike Nugent kick),3,14
,0:00,Chiefs,Tyreek Hill 56 yard pass from Alex Smith (Harrison Butker kick),10,14
3.0,9:06,Chiefs,Travis Kelce 2 yard pass from Alex Smith (Harrison Butker kick),17,14
,3:29,Cowboys,Ezekiel Elliott 2 yard rush (Mike Nugent kick),17,21
4.0,8:58,Cowboys,Cole Beasley 7 yard pass from Dak Prescott (Mike Nugent kick),17,28
