Quarter,Time,Tm,Detail,CLE,NYJ
1.0,6:30,Browns,Billy Cundiff 27 yard field goal,3,0
2.0,6:47,Browns,Edwin Baker 5 yard rush (Billy Cundiff kick),10,0
,1:18,Jets,David Nelson 6 yard pass from Geno Smith (Nick Folk kick),10,7
,0:00,Jets,Nick Folk 21 yard field goal,10,10
4.0,14:14,Jets,David Nelson 5 yard pass from Geno Smith (Nick Folk kick),10,17
,9:40,Browns,Billy Cundiff 21 yard field goal,13,17
,3:19,Jets,Geno Smith 17 yard rush (Nick Folk kick),13,24
