Unnamed: 0,OAK,NYJ
First Downs,14,23
Rush-Yds-TDs,17-95-0,43-184-1
Cmp-Att-Yd-TD-INT,14-26-124-1-2,14-26-119-1-0
Sacked-Yards,6-40,2-9
Net Pass Yards,84,110
Total Yards,179,294
Fumbles-Lost,3-2,1-0
Turnovers,4,0
Penalties-Yards,13-88,5-69
Third Down Conv.,3-9,4-13
Fourth Down Conv.,1-1,1-1
Time of Possession,24:22,35:38
