Quarter,Time,Tm,Detail,OAK,NYJ
1.0,8:55,Jets,Mike Nugent 33 yard field goal,0,3
2.0,5:13,Jets,Mike Nugent 20 yard field goal,0,6
,0:48,Raiders,Sebastian Janikowski 42 yard field goal,3,6
3.0,6:25,Jets,Mike Nugent 35 yard field goal,3,9
,2:55,Jets,Mike Nugent 21 yard field goal,3,12
4.0,14:54,Jets,Justin McCareins 4 yard pass from Brooks Bollinger (Mike Nugent kick),3,19
,9:15,Raiders,Jerry Porter 20 yard pass from Marques Tuiasosopo (Sebastian Janikowski kick),10,19
,1:56,Jets,Cedric Houston 2 yard rush (Mike Nugent kick),10,26
